type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,type,ln_fixed acidity,ln_volatile acidity,ln_citric acid,ln_residual sugar,ln_chlorides,ln_free sulfur dioxide,ln_total sulfur dioxide,ln_density,ln_pH,ln_sulphates,ln_alcohol,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,type,ln_fixed acidity,ln_volatile acidity,ln_citric acid,ln_residual sugar,ln_chlorides,ln_free sulfur dioxide,ln_total sulfur dioxide,ln_density,ln_pH,ln_sulphates,ln_alcohol,type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0,8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,0,2.091864062,-1.30933332,-0.891598119,0.371563556,-3.411247718,2.397895273,4.143134726,-0.009242581,1.095273387,-0.579818495,2.48490665,0,8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,0,2.091864062,-1.30933332,-0.891598119,0.371563556,-3.411247718,2.397895273,4.143134726,-0.009242581,1.095273387,-0.579818495,2.48490665,0,8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5
0,8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,0,2.151762203,-1.46967597,-0.916290732,1.435084525,-3.352407217,2.833213344,4.691347882,-0.005314095,1.1442228,-0.634878272,2.272125886,0,8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,0,2.151762203,-1.46967597,-0.916290732,1.435084525,-3.352407217,2.833213344,4.691347882,-0.005314095,1.1442228,-0.634878272,2.272125886,0,8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5
0,7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,0,2.066862759,-1.714798428,-0.994252273,0.182321557,-3.218875825,2.772588722,4.317488114,-0.008032172,1.156881197,-0.46203546,2.379546134,0,7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,0,2.066862759,-1.714798428,-0.994252273,0.182321557,-3.218875825,2.772588722,4.317488114,-0.008032172,1.156881197,-0.46203546,2.379546134,0,7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5
0,6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,0,1.887069649,-1.832581464,-0.916290732,0.405465108,-3.123565645,3.871201011,4.96284463,-0.008838949,1.264126727,-0.653926467,2.517696473,0,6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,0,1.887069649,-1.832581464,-0.916290732,0.405465108,-3.123565645,3.871201011,4.96284463,-0.008838949,1.264126727,-0.653926467,2.517696473,0,6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,7
0,8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,0,2.116255515,-0.867500568,-0.478035801,2.957511061,-3.218875825,3.713572067,5.147494477,0.00019998,1.091923301,-0.400477567,2.272125886,0,8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,0,2.116255515,-0.867500568,-0.478035801,2.957511061,-3.218875825,3.713572067,5.147494477,0.00019998,1.091923301,-0.400477567,2.272125886,0,8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,5
0,6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,0,1.887069649,-1.771956842,-0.967584026,0.405465108,-3.442019376,3.33220451,4.718498871,-0.008637193,1.178654996,-0.597837001,2.433613355,0,6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,0,1.887069649,-1.771956842,-0.967584026,0.405465108,-3.442019376,3.33220451,4.718498871,-0.008637193,1.178654996,-0.597837001,2.433613355,0,6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,7
0,6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,0,1.840549633,-0.733969175,-3.218875825,0.09531018,-3.079113882,3.401197382,4.59511985,-0.007226045,1.17557333,-1.021651248,2.261763098,0,6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,0,1.840549633,-0.733969175,-3.218875825,0.09531018,-3.079113882,3.401197382,4.59511985,-0.007226045,1.17557333,-1.021651248,2.261763098,0,6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,6
0,6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,0,1.824549292,-0.415515444,-0.733969175,0.182321557,-3.540459449,3.36729583,4.317488114,-0.010858743,1.202972304,-0.94160854,2.549445171,0,6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,0,1.824549292,-0.415515444,-0.733969175,0.182321557,-3.540459449,3.36729583,4.317488114,-0.010858743,1.202972304,-0.94160854,2.549445171,0,6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8
0,7.4,0.34,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,0,2.00148,-1.078809661,-0.867500568,0.09531018,-3.411247718,2.833213344,5.141663557,-0.008334637,1.137833002,-0.634878272,2.424802726,0,7.4,0.34,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,0,2.00148,-1.078809661,-0.867500568,0.09531018,-3.411247718,2.833213344,5.141663557,-0.008334637,1.137833002,-0.634878272,2.424802726,0,7.4,0.34,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,6
0,6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,0,1.871802177,-1.171182982,-1.966112856,2.014903021,-3.123565645,3.526360525,4.890349128,-0.004510155,1.16938136,-0.693147181,2.251291799,0,6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,0,1.871802177,-1.171182982,-1.966112856,2.014903021,-3.123565645,3.526360525,4.890349128,-0.004510155,1.16938136,-0.693147181,2.251291799,0,6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,5
0,6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,0,1.824549292,-0.415515444,-0.733969175,0.182321557,-3.540459449,3.36729583,4.317488114,-0.010858743,1.202972304,-0.94160854,2.549445171,0,6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,0,1.824549292,-0.415515444,-0.733969175,0.182321557,-3.540459449,3.36729583,4.317488114,-0.010858743,1.202972304,-0.94160854,2.549445171,0,6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8
0,6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,0,1.85629799,-1.171182982,-0.967584026,1.064710737,-3.270169119,2.944438979,4.624972813,-0.008838949,1.153731588,-1.049822124,2.397895273,0,6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,0,1.85629799,-1.171182982,-0.967584026,1.064710737,-3.270169119,2.944438979,4.624972813,-0.008838949,1.153731588,-1.049822124,2.397895273,0,6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,7
0,6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,0,1.916922612,-1.347073648,-0.867500568,0.530628251,-3.015934981,3.713572067,4.804021045,-0.007024615,1.244154594,-0.733969175,2.351375257,0,6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,0,1.916922612,-1.347073648,-0.867500568,0.530628251,-3.015934981,3.713572067,4.804021045,-0.007024615,1.244154594,-0.733969175,2.351375257,0,6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,8
0,7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,0,2.028148247,-0.400477567,-1.966112856,0.405465108,-2.603690186,3.218875825,5.123963979,-0.006319929,1.115141591,-0.673344553,2.2300144,0,7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,0,2.028148247,-0.400477567,-1.966112856,0.405465108,-2.603690186,3.218875825,5.123963979,-0.006319929,1.115141591,-0.673344553,2.2300144,0,7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5
0,6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10,0,1.887069649,-1.30933332,-0.891598119,0.262364264,-2.95651156,2.772588722,4.955827058,-0.004912044,1.229640551,-0.755022584,2.302585093,0,6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10,0,1.887069649,-1.30933332,-0.891598119,0.262364264,-2.95651156,2.772588722,4.955827058,-0.004912044,1.229640551,-0.755022584,2.302585093,0,6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10,6
0,7,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,0,1.945910149,-1.386294361,-1.139434283,2.197224577,-3.079113882,4.025351691,5.501258211,-0.004510155,1.178654996,-0.693147181,2.341805806,0,7,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,0,1.945910149,-1.386294361,-1.139434283,2.197224577,-3.079113882,4.025351691,5.501258211,-0.004510155,1.178654996,-0.693147181,2.341805806,0,7,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,6
0,6.9,0.24,0.35,1,0.052,35,146,0.993,3.45,0.44,10,0,1.931521412,-1.427116356,-1.049822124,0,-2.95651156,3.555348061,4.983606622,-0.007024615,1.238374231,-0.820980552,2.302585093,0,6.9,0.24,0.35,1,0.052,35,146,0.993,3.45,0.44,10,0,1.931521412,-1.427116356,-1.049822124,0,-2.95651156,3.555348061,4.983606622,-0.007024615,1.238374231,-0.820980552,2.302585093,0,6.9,0.24,0.35,1,0.052,35,146,0.993,3.45,0.44,10,6
0,7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,0,1.945910149,-1.272965676,-0.94160854,2.163323026,-2.975929646,3.465735903,4.94875989,-0.003907625,1.217875709,-0.634878272,2.351375257,0,7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,0,1.945910149,-1.272965676,-0.94160854,2.163323026,-2.975929646,3.465735903,4.94875989,-0.003907625,1.217875709,-0.634878272,2.351375257,0,7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6
0,7.4,0.27,0.48,1.1,0.047,17,132,0.9914,3.19,0.49,11.6,0,2.00148,-1.30933332,-0.733969175,0.09531018,-3.057607677,2.833213344,4.882801923,-0.008637193,1.160020917,-0.713349888,2.451005098,0,7.4,0.27,0.48,1.1,0.047,17,132,0.9914,3.19,0.49,11.6,0,2.00148,-1.30933332,-0.733969175,0.09531018,-3.057607677,2.833213344,4.882801923,-0.008637193,1.160020917,-0.713349888,2.451005098,0,7.4,0.27,0.48,1.1,0.047,17,132,0.9914,3.19,0.49,11.6,6
0,7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,0,1.974081026,-1.139434283,-1.021651248,0.693147181,-3.411247718,3.610917913,4.736198448,-0.009444459,1.131402111,-0.342490309,2.509599262,0,7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,0,1.974081026,-1.139434283,-1.021651248,0.693147181,-3.411247718,3.610917913,4.736198448,-0.009444459,1.131402111,-0.342490309,2.509599262,0,7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,7
0,8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,0,2.140066163,-1.427116356,-0.94160854,2.341805806,-3.123565645,2.995732274,4.955827058,-0.002603386,1.16315081,-0.634878272,2.302585093,0,8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,0,2.140066163,-1.427116356,-0.94160854,2.341805806,-3.123565645,2.995732274,4.955827058,-0.002603386,1.16315081,-0.634878272,2.302585093,0,8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,6
0,8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,0,2.116255515,-1.966112856,-1.078809661,0.09531018,-3.170085661,1.945910149,3.850147602,-0.006621876,1.244154594,-0.916290732,2.32238772,0,8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,0,2.116255515,-1.966112856,-1.078809661,0.09531018,-3.170085661,1.945910149,3.850147602,-0.006621876,1.244154594,-0.916290732,2.32238772,0,8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,6
0,7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,0,2.00148,-1.386294361,-1.021651248,0.717839793,-2.995732274,3.433987204,4.605170186,-0.008032172,1.160020917,-0.820980552,2.379546134,0,7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,0,2.00148,-1.386294361,-1.021651248,0.717839793,-2.995732274,3.433987204,4.605170186,-0.008032172,1.160020917,-0.820980552,2.379546134,0,7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,6
0,6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9,0,1.824549292,-2.120263536,-1.078809661,0.405465108,-3.101092789,3.761200116,4.762173935,-0.006118681,1.229640551,-0.673344553,2.197224577,0,6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9,0,1.824549292,-2.120263536,-1.078809661,0.405465108,-3.101092789,3.761200116,4.762173935,-0.006118681,1.229640551,-0.673344553,2.197224577,0,6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9,6
0,5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,0,1.757857918,-1.30933332,-1.609437912,2.7047113,-3.123565645,3.091042453,5.187385806,-0.003807238,1.214912744,-0.994252273,2.32238772,0,5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,0,1.757857918,-1.30933332,-1.609437912,2.7047113,-3.123565645,3.091042453,5.187385806,-0.003807238,1.214912744,-0.994252273,2.32238772,0,5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,5
0,7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,0,1.987874348,-1.272965676,-0.84397007,0.530628251,-2.525728644,3.044522438,4.812184355,-0.009545413,1.160020917,-0.867500568,2.549445171,0,7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,0,1.987874348,-1.272965676,-0.84397007,0.530628251,-2.525728644,3.044522438,4.812184355,-0.009545413,1.160020917,-0.867500568,2.549445171,0,7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,5
0,6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,0,1.871802177,-0.94160854,-1.46967597,1.686398954,-2.975929646,3.218875825,5.003946306,-0.006621876,1.17557333,-1.049822124,2.302585093,0,6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,0,1.871802177,-0.94160854,-1.46967597,1.686398954,-2.975929646,3.218875825,5.003946306,-0.006621876,1.17557333,-1.049822124,2.302585093,0,6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,5
0,7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,0,1.945910149,-1.108662625,-1.139434283,0.182321557,-2.937463365,3.63758616,4.927253685,-0.009444459,1.141033005,-1.272965676,2.415913778,0,7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,0,1.945910149,-1.108662625,-1.139434283,0.182321557,-2.937463365,3.63758616,4.927253685,-0.009444459,1.141033005,-1.272965676,2.415913778,0,7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,6
0,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,0,1.987874348,-1.427116356,-0.94160854,2.887590115,-2.864704011,3.80666249,5.003946306,-0.000100005,1.166270937,-1.021651248,2.151762203,0,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,0,1.987874348,-1.427116356,-0.94160854,2.887590115,-2.864704011,3.80666249,5.003946306,-0.000100005,1.166270937,-1.021651248,2.151762203,0,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5
0,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,0,1.987874348,-1.427116356,-0.94160854,2.887590115,-2.864704011,3.80666249,5.003946306,-0.000100005,1.166270937,-1.021651248,2.151762203,0,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,0,1.987874348,-1.427116356,-0.94160854,2.887590115,-2.864704011,3.80666249,5.003946306,-0.000100005,1.166270937,-1.021651248,2.151762203,0,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5
0,6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,0,1.902107526,-1.46967597,-0.94160854,0.916290732,-1.760260802,4.143134726,5.062595033,-0.006319929,1.134622726,-1.021651248,2.240709689,0,6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,0,1.902107526,-1.46967597,-0.94160854,0.916290732,-1.760260802,4.143134726,5.062595033,-0.006319929,1.134622726,-1.021651248,2.240709689,0,6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,6
0,6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,0,1.902107526,-1.427116356,-0.94160854,1.064710737,-1.754463684,4.143134726,5.056245805,-0.006319929,1.131402111,-1.078809661,2.240709689,0,6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,0,1.902107526,-1.427116356,-0.94160854,1.064710737,-1.754463684,4.143134726,5.056245805,-0.006319929,1.131402111,-1.078809661,2.240709689,0,6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,6
0,7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,0,1.945910149,-1.171182982,-1.347073648,2.00148,-2.673648774,3.33220451,5.075173815,-0.004610613,1.141033005,-0.776528789,2.282382386,0,7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,0,1.945910149,-1.171182982,-1.347073648,2.00148,-2.673648774,3.33220451,5.075173815,-0.004610613,1.141033005,-0.776528789,2.282382386,0,7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6
0,6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,0,1.887069649,-1.427116356,-1.30933332,0.336472237,-2.864704011,3.496507561,5.023880521,-0.006621876,1.16938136,-0.579818495,2.251291799,0,6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,0,1.887069649,-1.427116356,-1.30933332,0.336472237,-2.864704011,3.496507561,5.023880521,-0.006621876,1.16938136,-0.579818495,2.251291799,0,6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,6
0,6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,0,1.902107526,-1.46967597,-1.347073648,0.336472237,-2.813410717,3.496507561,5.036952602,-0.006621876,1.17557333,-0.579818495,2.251291799,0,6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,0,1.902107526,-1.46967597,-1.347073648,0.336472237,-2.813410717,3.496507561,5.036952602,-0.006621876,1.17557333,-0.579818495,2.251291799,0,6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6
0,7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,0,2.00148,-1.714798428,-1.171182982,0.336472237,-2.847312268,3.63758616,5.117993812,-0.006923915,1.150572028,-0.634878272,2.302585093,0,7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,0,2.00148,-1.714798428,-1.171182982,0.336472237,-2.847312268,3.63758616,5.117993812,-0.006923915,1.150572028,-0.634878272,2.302585093,0,7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,7
0,6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,0,1.824549292,-0.798507696,-1.347073648,1.481604541,-2.764620553,4.143134726,5.327876169,-0.006018072,1.184789985,-0.653926467,2.282382386,0,6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,0,1.824549292,-0.798507696,-1.347073648,1.481604541,-2.764620553,4.143134726,5.327876169,-0.006018072,1.184789985,-0.653926467,2.282382386,0,6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,4
0,6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,0,1.824549292,-0.776528789,-1.386294361,1.481604541,-2.718100537,4.127134385,5.332718793,-0.006118681,1.178654996,-0.653926467,2.282382386,0,6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,0,1.824549292,-0.776528789,-1.386294361,1.481604541,-2.718100537,4.127134385,5.332718793,-0.006118681,1.178654996,-0.653926467,2.282382386,0,6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,5
