cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate ,age,ln_cement,ln_blast_furnace_slag,ln_fly_ash,ln_water,ln_superplasticizer,ln_coarse_aggregate,ln_fine_aggregate ,ln_age,concrete_compressive_strength
362.6,189,0,164.9,11.6,944.7,755.8,7,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,1.945910149,55.9
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,5.657040212,5.302807272,0,4.974662634,2.415913778,6.912344731,6.689226065,1.945910149,38
362.6,189,0,164.9,11.6,944.7,755.8,7,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,1.945910149,55.9
439,177,0,186,11.1,884.9,707.9,7,6.084499413,5.176149733,0,5.225746674,2.406945108,6.785474644,6.562302841,1.945910149,56.1
389.9,189,0,145.9,22,944.7,755.8,7,5.965890296,5.241747015,0,4.982921456,3.091042453,6.850867417,6.627776791,1.945910149,59.09
362.6,189,0,164.9,11.6,944.7,755.8,7,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,1.945910149,22.9
337.9,189,0,174.9,9.5,944.7,755.8,7,5.822749994,5.241747015,0,5.164214382,2.251291799,6.850867417,6.627776791,1.945910149,35.1
374,189.2,0,170.1,10.1,926.1,756.7,28,5.924255797,5.242804657,0,5.136386499,2.312535424,6.83098222,6.628966874,3.33220451,61.09
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,5.747161198,5.569107571,0,5.167639043,2.151762203,6.953588695,6.416405432,3.33220451,59.8
425,106.3,0,153.5,16.5,852.1,887.1,28,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,3.33220451,60.29
425,106.3,0,151.4,18.6,936,803.7,28,6.052089169,4.666265285,0,5.019925341,2.923161581,6.841615476,6.689226065,3.33220451,61.8
375,93.8,0,126.6,23.4,852.1,992.6,28,5.926926026,4.541164856,0,4.84103251,3.152736022,6.747703891,6.900327763,3.33220451,56.7
475,118.8,0,181.1,8.9,852.1,781.5,28,6.163314804,4.777441407,0,5.199049365,2.186051277,6.747703891,6.66121515,3.33220451,68.3
469,117.2,0,137.8,32.2,852.1,840.5,28,6.150602768,4.763881877,0,4.925803359,3.471966453,6.747703891,6.733996953,3.33220451,66.9
425,106.3,0,153.5,16.5,852.1,887.1,28,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,3.33220451,60.29
388.6,97.1,0,157.9,12.1,852.1,925.7,28,5.962550537,4.575741375,0,5.061961921,2.493205453,6.747703891,6.830550208,3.33220451,50.7
531.3,0,0,141.8,28.2,852.1,893.7,28,6.275326833,0,0,4.954417614,3.339321978,6.747703891,6.795370148,3.33220451,56.4
425,106.3,0,153.5,16.5,852.1,887.1,28,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,3.33220451,60.29
318.8,212.5,0,155.7,14.3,852.1,880.4,28,5.764563947,5.358941988,0,5.047931079,2.660259537,6.747703891,6.78037635,3.33220451,55.5
401.8,94.7,0,147.4,11.4,946.8,852.1,28,5.995954452,4.550714,0,4.99314998,2.433613355,6.853087878,6.747703891,3.33220451,68.5
362.6,189,0,164.9,11.6,944.7,755.8,28,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,3.33220451,71.3
323.7,282.8,0,183.8,10.3,942.7,659.9,28,5.779817161,5.644739934,0,5.21384821,2.332143895,6.848748098,6.492088308,3.33220451,74.7
379.5,151.2,0,153.9,15.9,1134.3,605,28,5.938854597,5.018603464,0,5.036303041,2.766319109,7.033771,6.405228458,3.33220451,52.2
362.6,189,0,164.9,11.6,944.7,755.8,28,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,3.33220451,71.3
286.3,200.9,0,144.7,11.2,1004.6,803.7,28,5.657040212,5.302807272,0,4.974662634,2.415913778,6.912344731,6.689226065,3.33220451,67.7
362.6,189,0,164.9,11.6,944.7,755.8,28,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,3.33220451,71.3
439,177,0,186,11.1,884.9,707.9,28,6.084499413,5.176149733,0,5.225746674,2.406945108,6.785474644,6.562302841,3.33220451,66
389.9,189,0,145.9,22,944.7,755.8,28,5.965890296,5.241747015,0,4.982921456,3.091042453,6.850867417,6.627776791,3.33220451,74.5
362.6,189,0,164.9,11.6,944.7,755.8,28,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,3.33220451,71.3
337.9,189,0,174.9,9.5,944.7,755.8,28,5.822749994,5.241747015,0,5.164214382,2.251291799,6.850867417,6.627776791,3.33220451,49.9
374,189.2,0,170.1,10.1,926.1,756.7,56,5.924255797,5.242804657,0,5.136386499,2.312535424,6.83098222,6.628966874,4.025351691,63.4
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,5.747161198,5.569107571,0,5.167639043,2.151762203,6.953588695,6.416405432,4.025351691,64.9
425,106.3,0,153.5,16.5,852.1,887.1,56,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,4.025351691,64.3
425,106.3,0,151.4,18.6,936,803.7,56,6.052089169,4.666265285,0,5.019925341,2.923161581,6.841615476,6.689226065,4.025351691,64.9
375,93.8,0,126.6,23.4,852.1,992.6,56,5.926926026,4.541164856,0,4.84103251,3.152736022,6.747703891,6.900327763,4.025351691,60.2
475,118.8,0,181.1,8.9,852.1,781.5,56,6.163314804,4.777441407,0,5.199049365,2.186051277,6.747703891,6.66121515,4.025351691,72.3
469,117.2,0,137.8,32.2,852.1,840.5,56,6.150602768,4.763881877,0,4.925803359,3.471966453,6.747703891,6.733996953,4.025351691,69.3
425,106.3,0,153.5,16.5,852.1,887.1,56,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,4.025351691,64.3
388.6,97.1,0,157.9,12.1,852.1,925.7,56,5.962550537,4.575741375,0,5.061961921,2.493205453,6.747703891,6.830550208,4.025351691,55.2
531.3,0,0,141.8,28.2,852.1,893.7,56,6.275326833,0,0,4.954417614,3.339321978,6.747703891,6.795370148,4.025351691,58.8
425,106.3,0,153.5,16.5,852.1,887.1,56,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,4.025351691,64.3
318.8,212.5,0,155.7,14.3,852.1,880.4,56,5.764563947,5.358941988,0,5.047931079,2.660259537,6.747703891,6.78037635,4.025351691,66.1
401.8,94.7,0,147.4,11.4,946.8,852.1,56,5.995954452,4.550714,0,4.99314998,2.433613355,6.853087878,6.747703891,4.025351691,73.7
362.6,189,0,164.9,11.6,944.7,755.8,56,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,4.025351691,77.3
323.7,282.8,0,183.8,10.3,942.7,659.9,56,5.779817161,5.644739934,0,5.21384821,2.332143895,6.848748098,6.492088308,4.025351691,80.2
379.5,151.2,0,153.9,15.9,1134.3,605,56,5.938854597,5.018603464,0,5.036303041,2.766319109,7.033771,6.405228458,4.025351691,54.9
362.6,189,0,164.9,11.6,944.7,755.8,56,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,4.025351691,77.3
286.3,200.9,0,144.7,11.2,1004.6,803.7,56,5.657040212,5.302807272,0,4.974662634,2.415913778,6.912344731,6.689226065,4.025351691,72.99
362.6,189,0,164.9,11.6,944.7,755.8,56,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,4.025351691,77.3
439,177,0,186,11.1,884.9,707.9,56,6.084499413,5.176149733,0,5.225746674,2.406945108,6.785474644,6.562302841,4.025351691,71.7
389.9,189,0,145.9,22,944.7,755.8,56,5.965890296,5.241747015,0,4.982921456,3.091042453,6.850867417,6.627776791,4.025351691,79.4
362.6,189,0,164.9,11.6,944.7,755.8,56,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,4.025351691,77.3
337.9,189,0,174.9,9.5,944.7,755.8,56,5.822749994,5.241747015,0,5.164214382,2.251291799,6.850867417,6.627776791,4.025351691,59.89
374,189.2,0,170.1,10.1,926.1,756.7,91,5.924255797,5.242804657,0,5.136386499,2.312535424,6.83098222,6.628966874,4.510859507,64.9
313.3,262.2,0,175.5,8.6,1046.9,611.8,91,5.747161198,5.569107571,0,5.167639043,2.151762203,6.953588695,6.416405432,4.510859507,66.6
425,106.3,0,153.5,16.5,852.1,887.1,91,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,4.510859507,65.2
425,106.3,0,151.4,18.6,936,803.7,91,6.052089169,4.666265285,0,5.019925341,2.923161581,6.841615476,6.689226065,4.510859507,66.7
375,93.8,0,126.6,23.4,852.1,992.6,91,5.926926026,4.541164856,0,4.84103251,3.152736022,6.747703891,6.900327763,4.510859507,62.5
475,118.8,0,181.1,8.9,852.1,781.5,91,6.163314804,4.777441407,0,5.199049365,2.186051277,6.747703891,6.66121515,4.510859507,74.19
469,117.2,0,137.8,32.2,852.1,840.5,91,6.150602768,4.763881877,0,4.925803359,3.471966453,6.747703891,6.733996953,4.510859507,70.7
425,106.3,0,153.5,16.5,852.1,887.1,91,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,4.510859507,65.2
388.6,97.1,0,157.9,12.1,852.1,925.7,91,5.962550537,4.575741375,0,5.061961921,2.493205453,6.747703891,6.830550208,4.510859507,57.6
531.3,0,0,141.8,28.2,852.1,893.7,91,6.275326833,0,0,4.954417614,3.339321978,6.747703891,6.795370148,4.510859507,59.2
425,106.3,0,153.5,16.5,852.1,887.1,91,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,4.510859507,65.2
318.8,212.5,0,155.7,14.3,852.1,880.4,91,5.764563947,5.358941988,0,5.047931079,2.660259537,6.747703891,6.78037635,4.510859507,68.1
401.8,94.7,0,147.4,11.4,946.8,852.1,91,5.995954452,4.550714,0,4.99314998,2.433613355,6.853087878,6.747703891,4.510859507,75.5
362.6,189,0,164.9,11.6,944.7,755.8,91,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,4.510859507,79.3
379.5,151.2,0,153.9,15.9,1134.3,605,91,5.938854597,5.018603464,0,5.036303041,2.766319109,7.033771,6.405228458,4.510859507,56.5
362.6,189,0,164.9,11.6,944.7,755.8,91,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,4.510859507,79.3
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,5.657040212,5.302807272,0,4.974662634,2.415913778,6.912344731,6.689226065,4.510859507,76.8
362.6,189,0,164.9,11.6,944.7,755.8,91,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,4.510859507,79.3
439,177,0,186,11.1,884.9,707.9,91,6.084499413,5.176149733,0,5.225746674,2.406945108,6.785474644,6.562302841,4.510859507,73.3
389.9,189,0,145.9,22,944.7,755.8,91,5.965890296,5.241747015,0,4.982921456,3.091042453,6.850867417,6.627776791,4.510859507,82.6
362.6,189,0,164.9,11.6,944.7,755.8,91,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,4.510859507,79.3
337.9,189,0,174.9,9.5,944.7,755.8,91,5.822749994,5.241747015,0,5.164214382,2.251291799,6.850867417,6.627776791,4.510859507,67.8
222.4,0,96.7,189.3,4.5,967.1,870.3,3,5.404477562,0,4.571613402,5.243333058,1.504077397,6.874301903,6.76883798,1.098612289,11.58
222.4,0,96.7,189.3,4.5,967.1,870.3,14,5.404477562,0,4.571613402,5.243333058,1.504077397,6.874301903,6.76883798,2.63905733,24.45
222.4,0,96.7,189.3,4.5,967.1,870.3,28,5.404477562,0,4.571613402,5.243333058,1.504077397,6.874301903,6.76883798,3.33220451,24.89
222.4,0,96.7,189.3,4.5,967.1,870.3,56,5.404477562,0,4.571613402,5.243333058,1.504077397,6.874301903,6.76883798,4.025351691,29.45
222.4,0,96.7,189.3,4.5,967.1,870.3,100,5.404477562,0,4.571613402,5.243333058,1.504077397,6.874301903,6.76883798,4.605170186,40.71
233.8,0,94.6,197.9,4.6,947,852.2,3,5.454466049,0,4.549657476,5.287761853,1.526056303,6.853299093,6.747821241,1.098612289,10.38
233.8,0,94.6,197.9,4.6,947,852.2,14,5.454466049,0,4.549657476,5.287761853,1.526056303,6.853299093,6.747821241,2.63905733,22.14
233.8,0,94.6,197.9,4.6,947,852.2,28,5.454466049,0,4.549657476,5.287761853,1.526056303,6.853299093,6.747821241,3.33220451,22.84
233.8,0,94.6,197.9,4.6,947,852.2,56,5.454466049,0,4.549657476,5.287761853,1.526056303,6.853299093,6.747821241,4.025351691,27.66
233.8,0,94.6,197.9,4.6,947,852.2,100,5.454466049,0,4.549657476,5.287761853,1.526056303,6.853299093,6.747821241,4.605170186,34.56
194.7,0,100.5,165.6,7.5,1006.4,905.9,3,5.271459912,0,4.610157727,5.109575242,2.014903021,6.914134886,6.808928925,1.098612289,12.45
194.7,0,100.5,165.6,7.5,1006.4,905.9,14,5.271459912,0,4.610157727,5.109575242,2.014903021,6.914134886,6.808928925,2.63905733,24.99
194.7,0,100.5,165.6,7.5,1006.4,905.9,28,5.271459912,0,4.610157727,5.109575242,2.014903021,6.914134886,6.808928925,3.33220451,25.72
