cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate ,age,ln_cement,ln_blast_furnace_slag,ln_fly_ash,ln_water,ln_superplasticizer,ln_coarse_aggregate,ln_fine_aggregate ,ln_age,log10_ln_cement,log10_ln_blast_furnace_slag,log10_ln_fly_ash,log10_ln_water,log10_ln_superplasticizer,log10_ln_coarse_aggregate,log10_ln_fine_aggregate ,log10_ln_age,concrete_compressive_strength
427.5,47.5,0,228,0,932,594,270,6.057954288,3.860729711,0,5.429345629,0,6.837332815,6.386879319,5.598421959,2.630936119,1.67669361,0,2.357934847,0,2.969415912,2.773786445,2.431363764,43.01
190,190,0,228,0,932,670,90,5.247024072,5.247024072,0,5.429345629,0,6.837332815,6.507277712,4.49980967,2.278753601,2.278753601,0,2.357934847,0,2.969415912,2.826074803,1.954242509,42.33
304,76,0,228,0,932,670,28,5.717027701,4.33073334,0,5.429345629,0,6.837332815,6.507277712,3.33220451,2.482873584,1.880813592,0,2.357934847,0,2.969415912,2.826074803,1.447158031,47.81
380,0,0,228,0,932,670,90,5.940171253,0,0,5.429345629,0,6.837332815,6.507277712,4.49980967,2.579783597,0,0,2.357934847,0,2.969415912,2.826074803,1.954242509,52.91
139.6,209.4,0,192,0,1047,806.9,90,4.93878119,5.344246298,0,5.257495372,0,6.953684211,6.693199745,4.49980967,2.144885418,2.320976677,0,2.283301229,0,3.019946682,2.906819715,1.954242509,39.36
342,38,0,228,0,932,670,365,5.834810737,3.63758616,0,5.429345629,0,6.837332815,6.507277712,5.899897354,2.534026106,1.579783597,0,2.357934847,0,2.969415912,2.826074803,2.562292864,56.14
380,95,0,228,0,932,594,90,5.940171253,4.553876892,0,5.429345629,0,6.837332815,6.386879319,4.49980967,2.579783597,1.977723605,0,2.357934847,0,2.969415912,2.773786445,1.954242509,40.56
475,0,0,228,0,932,594,180,6.163314804,0,0,5.429345629,0,6.837332815,6.386879319,5.192956851,2.67669361,0,0,2.357934847,0,2.969415912,2.773786445,2.255272505,42.62
427.5,47.5,0,228,0,932,594,180,6.057954288,3.860729711,0,5.429345629,0,6.837332815,6.386879319,5.192956851,2.630936119,1.67669361,0,2.357934847,0,2.969415912,2.773786445,2.255272505,41.84
139.6,209.4,0,192,0,1047,806.9,28,4.93878119,5.344246298,0,5.257495372,0,6.953684211,6.693199745,3.33220451,2.144885418,2.320976677,0,2.283301229,0,3.019946682,2.906819715,1.447158031,28.24
139.6,209.4,0,192,0,1047,806.9,3,4.93878119,5.344246298,0,5.257495372,0,6.953684211,6.693199745,1.098612289,2.144885418,2.320976677,0,2.283301229,0,3.019946682,2.906819715,0.477121255,8.06
139.6,209.4,0,192,0,1047,806.9,180,4.93878119,5.344246298,0,5.257495372,0,6.953684211,6.693199745,5.192956851,2.144885418,2.320976677,0,2.283301229,0,3.019946682,2.906819715,2.255272505,44.21
380,0,0,228,0,932,670,365,5.940171253,0,0,5.429345629,0,6.837332815,6.507277712,5.899897354,2.579783597,0,0,2.357934847,0,2.969415912,2.826074803,2.562292864,52.52
380,0,0,228,0,932,670,270,5.940171253,0,0,5.429345629,0,6.837332815,6.507277712,5.598421959,2.579783597,0,0,2.357934847,0,2.969415912,2.826074803,2.431363764,53.3
380,95,0,228,0,932,594,270,5.940171253,4.553876892,0,5.429345629,0,6.837332815,6.386879319,5.598421959,2.579783597,1.977723605,0,2.357934847,0,2.969415912,2.773786445,2.431363764,41.15
342,38,0,228,0,932,670,180,5.834810737,3.63758616,0,5.429345629,0,6.837332815,6.507277712,5.192956851,2.534026106,1.579783597,0,2.357934847,0,2.969415912,2.826074803,2.255272505,52.12
427.5,47.5,0,228,0,932,594,28,6.057954288,3.860729711,0,5.429345629,0,6.837332815,6.386879319,3.33220451,2.630936119,1.67669361,0,2.357934847,0,2.969415912,2.773786445,1.447158031,37.43
475,0,0,228,0,932,594,7,6.163314804,0,0,5.429345629,0,6.837332815,6.386879319,1.945910149,2.67669361,0,0,2.357934847,0,2.969415912,2.773786445,0.84509804,38.6
304,76,0,228,0,932,670,365,5.717027701,4.33073334,0,5.429345629,0,6.837332815,6.507277712,5.899897354,2.482873584,1.880813592,0,2.357934847,0,2.969415912,2.826074803,2.562292864,55.26
266,114,0,228,0,932,670,365,5.583496309,4.736198448,0,5.429345629,0,6.837332815,6.507277712,5.899897354,2.424881637,2.056904851,0,2.357934847,0,2.969415912,2.826074803,2.562292864,52.91
198.6,132.4,0,192,0,978.4,825.5,180,5.291292752,4.885827644,0,5.257495372,0,6.885918584,6.715989263,5.192956851,2.297979244,2.121887985,0,2.283301229,0,2.990516444,2.916717078,2.255272505,41.72
475,0,0,228,0,932,594,270,6.163314804,0,0,5.429345629,0,6.837332815,6.386879319,5.598421959,2.67669361,0,0,2.357934847,0,2.969415912,2.773786445,2.431363764,42.13
190,190,0,228,0,932,670,365,5.247024072,5.247024072,0,5.429345629,0,6.837332815,6.507277712,5.899897354,2.278753601,2.278753601,0,2.357934847,0,2.969415912,2.826074803,2.562292864,53.69
237.5,237.5,0,228,0,932,594,270,5.470167623,5.470167623,0,5.429345629,0,6.837332815,6.386879319,5.598421959,2.375663614,2.375663614,0,2.357934847,0,2.969415912,2.773786445,2.431363764,38.41
237.5,237.5,0,228,0,932,594,28,5.470167623,5.470167623,0,5.429345629,0,6.837332815,6.386879319,3.33220451,2.375663614,2.375663614,0,2.357934847,0,2.969415912,2.773786445,1.447158031,30.08
332.5,142.5,0,228,0,932,594,90,5.80663986,4.959342,0,5.429345629,0,6.837332815,6.386879319,4.49980967,2.52179165,2.153814864,0,2.357934847,0,2.969415912,2.773786445,1.954242509,37.72
475,0,0,228,0,932,594,90,6.163314804,0,0,5.429345629,0,6.837332815,6.386879319,4.49980967,2.67669361,0,0,2.357934847,0,2.969415912,2.773786445,1.954242509,42.23
237.5,237.5,0,228,0,932,594,180,5.470167623,5.470167623,0,5.429345629,0,6.837332815,6.386879319,5.192956851,2.375663614,2.375663614,0,2.357934847,0,2.969415912,2.773786445,2.255272505,36.25
342,38,0,228,0,932,670,90,5.834810737,3.63758616,0,5.429345629,0,6.837332815,6.507277712,4.49980967,2.534026106,1.579783597,0,2.357934847,0,2.969415912,2.826074803,1.954242509,50.46
427.5,47.5,0,228,0,932,594,365,6.057954288,3.860729711,0,5.429345629,0,6.837332815,6.386879319,5.899897354,2.630936119,1.67669361,0,2.357934847,0,2.969415912,2.773786445,2.562292864,43.7
237.5,237.5,0,228,0,932,594,365,5.470167623,5.470167623,0,5.429345629,0,6.837332815,6.386879319,5.899897354,2.375663614,2.375663614,0,2.357934847,0,2.969415912,2.773786445,2.562292864,39
380,0,0,228,0,932,670,180,5.940171253,0,0,5.429345629,0,6.837332815,6.507277712,5.192956851,2.579783597,0,0,2.357934847,0,2.969415912,2.826074803,2.255272505,53.1
427.5,47.5,0,228,0,932,594,90,6.057954288,3.860729711,0,5.429345629,0,6.837332815,6.386879319,4.49980967,2.630936119,1.67669361,0,2.357934847,0,2.969415912,2.773786445,1.954242509,41.54
427.5,47.5,0,228,0,932,594,7,6.057954288,3.860729711,0,5.429345629,0,6.837332815,6.386879319,1.945910149,2.630936119,1.67669361,0,2.357934847,0,2.969415912,2.773786445,0.84509804,35.08
349,0,0,192,0,1047,806.9,3,5.855071922,0,0,5.257495372,0,6.953684211,6.693199745,1.098612289,2.542825427,0,0,2.283301229,0,3.019946682,2.906819715,0.477121255,15.05
380,95,0,228,0,932,594,180,5.940171253,4.553876892,0,5.429345629,0,6.837332815,6.386879319,5.192956851,2.579783597,1.977723605,0,2.357934847,0,2.969415912,2.773786445,2.255272505,40.76
237.5,237.5,0,228,0,932,594,7,5.470167623,5.470167623,0,5.429345629,0,6.837332815,6.386879319,1.945910149,2.375663614,2.375663614,0,2.357934847,0,2.969415912,2.773786445,0.84509804,26.26
380,95,0,228,0,932,594,7,5.940171253,4.553876892,0,5.429345629,0,6.837332815,6.386879319,1.945910149,2.579783597,1.977723605,0,2.357934847,0,2.969415912,2.773786445,0.84509804,32.82
332.5,142.5,0,228,0,932,594,180,5.80663986,4.959342,0,5.429345629,0,6.837332815,6.386879319,5.192956851,2.52179165,2.153814864,0,2.357934847,0,2.969415912,2.773786445,2.255272505,39.78
190,190,0,228,0,932,670,180,5.247024072,5.247024072,0,5.429345629,0,6.837332815,6.507277712,5.192956851,2.278753601,2.278753601,0,2.357934847,0,2.969415912,2.826074803,2.255272505,46.93
237.5,237.5,0,228,0,932,594,90,5.470167623,5.470167623,0,5.429345629,0,6.837332815,6.386879319,4.49980967,2.375663614,2.375663614,0,2.357934847,0,2.969415912,2.773786445,1.954242509,33.12
304,76,0,228,0,932,670,90,5.717027701,4.33073334,0,5.429345629,0,6.837332815,6.507277712,4.49980967,2.482873584,1.880813592,0,2.357934847,0,2.969415912,2.826074803,1.954242509,49.19
139.6,209.4,0,192,0,1047,806.9,7,4.93878119,5.344246298,0,5.257495372,0,6.953684211,6.693199745,1.945910149,2.144885418,2.320976677,0,2.283301229,0,3.019946682,2.906819715,0.84509804,14.59
198.6,132.4,0,192,0,978.4,825.5,7,5.291292752,4.885827644,0,5.257495372,0,6.885918584,6.715989263,1.945910149,2.297979244,2.121887985,0,2.283301229,0,2.990516444,2.916717078,0.84509804,14.64
475,0,0,228,0,932,594,365,6.163314804,0,0,5.429345629,0,6.837332815,6.386879319,5.899897354,2.67669361,0,0,2.357934847,0,2.969415912,2.773786445,2.562292864,41.93
198.6,132.4,0,192,0,978.4,825.5,3,5.291292752,4.885827644,0,5.257495372,0,6.885918584,6.715989263,1.098612289,2.297979244,2.121887985,0,2.283301229,0,2.990516444,2.916717078,0.477121255,9.13
304,76,0,228,0,932,670,180,5.717027701,4.33073334,0,5.429345629,0,6.837332815,6.507277712,5.192956851,2.482873584,1.880813592,0,2.357934847,0,2.969415912,2.826074803,2.255272505,50.95
332.5,142.5,0,228,0,932,594,28,5.80663986,4.959342,0,5.429345629,0,6.837332815,6.386879319,3.33220451,2.52179165,2.153814864,0,2.357934847,0,2.969415912,2.773786445,1.447158031,33.02
304,76,0,228,0,932,670,270,5.717027701,4.33073334,0,5.429345629,0,6.837332815,6.507277712,5.598421959,2.482873584,1.880813592,0,2.357934847,0,2.969415912,2.826074803,2.431363764,54.38
266,114,0,228,0,932,670,270,5.583496309,4.736198448,0,5.429345629,0,6.837332815,6.507277712,5.598421959,2.424881637,2.056904851,0,2.357934847,0,2.969415912,2.826074803,2.431363764,51.73
310,0,0,192,0,971,850.6,3,5.736572297,0,0,5.257495372,0,6.878326468,6.745941983,1.098612289,2.491361694,0,0,2.283301229,0,2.98721923,2.929725378,0.477121255,9.87
190,190,0,228,0,932,670,270,5.247024072,5.247024072,0,5.429345629,0,6.837332815,6.507277712,5.598421959,2.278753601,2.278753601,0,2.357934847,0,2.969415912,2.826074803,2.431363764,50.66
266,114,0,228,0,932,670,180,5.583496309,4.736198448,0,5.429345629,0,6.837332815,6.507277712,5.192956851,2.424881637,2.056904851,0,2.357934847,0,2.969415912,2.826074803,2.255272505,48.7
342,38,0,228,0,932,670,270,5.834810737,3.63758616,0,5.429345629,0,6.837332815,6.507277712,5.598421959,2.534026106,1.579783597,0,2.357934847,0,2.969415912,2.826074803,2.431363764,55.06
139.6,209.4,0,192,0,1047,806.9,360,4.93878119,5.344246298,0,5.257495372,0,6.953684211,6.693199745,5.886104031,2.144885418,2.320976677,0,2.283301229,0,3.019946682,2.906819715,2.556302501,44.7
332.5,142.5,0,228,0,932,594,7,5.80663986,4.959342,0,5.429345629,0,6.837332815,6.386879319,1.945910149,2.52179165,2.153814864,0,2.357934847,0,2.969415912,2.773786445,0.84509804,30.28
190,190,0,228,0,932,670,28,5.247024072,5.247024072,0,5.429345629,0,6.837332815,6.507277712,3.33220451,2.278753601,2.278753601,0,2.357934847,0,2.969415912,2.826074803,1.447158031,40.86
485,0,0,146,0,1120,800,28,6.184148891,0,0,4.983606622,0,7.021083964,6.684611728,3.33220451,2.685741739,0,0,2.164352856,0,3.049218023,2.903089987,1.447158031,71.99
374,189.2,0,170.1,10.1,926.1,756.7,3,5.924255797,5.242804657,0,5.136386499,2.312535424,6.83098222,6.628966874,1.098612289,2.572871602,2.276921132,0,2.230704314,1.004321374,2.966657884,2.878923734,0.477121255,34.4
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,5.747161198,5.569107571,0,5.167639043,2.151762203,6.953588695,6.416405432,1.098612289,2.495960395,2.418632687,0,2.244277121,0.934498451,3.0199052,2.786609473,0.477121255,28.8
425,106.3,0,153.5,16.5,852.1,887.1,3,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,1.098612289,2.62838893,2.026533265,0,2.18610838,1.217483944,2.930490565,2.947972579,0.477121255,33.4
425,106.3,0,151.4,18.6,936,803.7,3,6.052089169,4.666265285,0,5.019925341,2.923161581,6.841615476,6.689226065,1.098612289,2.62838893,2.026533265,0,2.180125875,1.269512944,2.971275849,2.905093968,0.477121255,36.3
375,93.8,0,126.6,23.4,852.1,992.6,3,5.926926026,4.541164856,0,4.84103251,3.152736022,6.747703891,6.900327763,1.098612289,2.574031268,1.972202838,0,2.102433706,1.369215857,2.930490565,2.996774271,0.477121255,29
475,118.8,0,181.1,8.9,852.1,781.5,3,6.163314804,4.777441407,0,5.199049365,2.186051277,6.747703891,6.66121515,1.098612289,2.67669361,2.074816441,0,2.25791845,0.949390007,2.930490565,2.892928982,0.477121255,37.8
469,117.2,0,137.8,32.2,852.1,840.5,3,6.150602768,4.763881877,0,4.925803359,3.471966453,6.747703891,6.733996953,1.098612289,2.671172843,2.068927612,0,2.139249218,1.507855872,2.930490565,2.924537718,0.477121255,40.2
425,106.3,0,153.5,16.5,852.1,887.1,3,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,1.098612289,2.62838893,2.026533265,0,2.18610838,1.217483944,2.930490565,2.947972579,0.477121255,33.4
388.6,97.1,0,157.9,12.1,852.1,925.7,3,5.962550537,4.575741375,0,5.061961921,2.493205453,6.747703891,6.830550208,1.098612289,2.589502796,1.98721923,0,2.19838213,1.08278537,2.930490565,2.966470264,0.477121255,28.1
531.3,0,0,141.8,28.2,852.1,893.7,3,6.275326833,0,0,4.954417614,3.339321978,6.747703891,6.795370148,1.098612289,2.725339816,0,0,2.151676231,1.450249108,2.930490565,2.951191758,0.477121255,41.3
425,106.3,0,153.5,16.5,852.1,887.1,3,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,1.098612289,2.62838893,2.026533265,0,2.18610838,1.217483944,2.930490565,2.947972579,0.477121255,33.4
318.8,212.5,0,155.7,14.3,852.1,880.4,3,5.764563947,5.358941988,0,5.047931079,2.660259537,6.747703891,6.78037635,1.098612289,2.503518313,2.327358934,0,2.192288613,1.155336037,2.930490565,2.944680034,0.477121255,25.2
401.8,94.7,0,147.4,11.4,946.8,852.1,3,5.995954452,4.550714,0,4.99314998,2.433613355,6.853087878,6.747703891,1.098612289,2.604009932,1.976349979,0,2.168497484,1.056904851,2.976258249,2.930490565,0.477121255,41.1
362.6,189,0,164.9,11.6,944.7,755.8,3,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,1.098612289,2.5594278,2.276461804,0,2.217220656,1.064457989,2.975293915,2.878406888,0.477121255,35.3
323.7,282.8,0,183.8,10.3,942.7,659.9,3,5.779817161,5.644739934,0,5.21384821,2.332143895,6.848748098,6.492088308,1.098612289,2.510142699,2.451479405,0,2.264345507,1.012837225,2.974373507,2.819478128,0.477121255,28.3
379.5,151.2,0,153.9,15.9,1134.3,605,3,5.938854597,5.018603464,0,5.036303041,2.766319109,7.033771,6.405228458,1.098612289,2.57921178,2.179551791,0,2.18723862,1.201397124,3.054727932,2.781755375,0.477121255,28.6
362.6,189,0,164.9,11.6,944.7,755.8,3,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,1.098612289,2.5594278,2.276461804,0,2.217220656,1.064457989,2.975293915,2.878406888,0.477121255,35.3
286.3,200.9,0,144.7,11.2,1004.6,803.7,3,5.657040212,5.302807272,0,4.974662634,2.415913778,6.912344731,6.689226065,1.098612289,2.456821348,2.302979937,0,2.160468531,1.049218023,3.001993174,2.905093968,0.477121255,24.4
362.6,189,0,164.9,11.6,944.7,755.8,3,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,1.098612289,2.5594278,2.276461804,0,2.217220656,1.064457989,2.975293915,2.878406888,0.477121255,35.3
439,177,0,186,11.1,884.9,707.9,3,6.084499413,5.176149733,0,5.225746674,2.406945108,6.785474644,6.562302841,1.098612289,2.64246452,2.247973266,0,2.269512944,1.045322979,2.946894195,2.849971912,0.477121255,39.3
389.9,189,0,145.9,22,944.7,755.8,3,5.965890296,5.241747015,0,4.982921456,3.091042453,6.850867417,6.627776791,1.098612289,2.590953235,2.276461804,0,2.164055292,1.342422681,2.975293915,2.878406888,0.477121255,40.6
362.6,189,0,164.9,11.6,944.7,755.8,3,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,1.098612289,2.5594278,2.276461804,0,2.217220656,1.064457989,2.975293915,2.878406888,0.477121255,35.3
337.9,189,0,174.9,9.5,944.7,755.8,3,5.822749994,5.241747015,0,5.164214382,2.251291799,6.850867417,6.627776791,1.098612289,2.528788192,2.276461804,0,2.242789809,0.977723605,2.975293915,2.878406888,0.477121255,24.1
374,189.2,0,170.1,10.1,926.1,756.7,7,5.924255797,5.242804657,0,5.136386499,2.312535424,6.83098222,6.628966874,1.945910149,2.572871602,2.276921132,0,2.230704314,1.004321374,2.966657884,2.878923734,0.84509804,46.2
313.3,262.2,0,175.5,8.6,1046.9,611.8,7,5.747161198,5.569107571,0,5.167639043,2.151762203,6.953588695,6.416405432,1.945910149,2.495960395,2.418632687,0,2.244277121,0.934498451,3.0199052,2.786609473,0.84509804,42.8
425,106.3,0,153.5,16.5,852.1,887.1,7,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,1.945910149,2.62838893,2.026533265,0,2.18610838,1.217483944,2.930490565,2.947972579,0.84509804,49.2
425,106.3,0,151.4,18.6,936,803.7,7,6.052089169,4.666265285,0,5.019925341,2.923161581,6.841615476,6.689226065,1.945910149,2.62838893,2.026533265,0,2.180125875,1.269512944,2.971275849,2.905093968,0.84509804,46.8
375,93.8,0,126.6,23.4,852.1,992.6,7,5.926926026,4.541164856,0,4.84103251,3.152736022,6.747703891,6.900327763,1.945910149,2.574031268,1.972202838,0,2.102433706,1.369215857,2.930490565,2.996774271,0.84509804,45.7
475,118.8,0,181.1,8.9,852.1,781.5,7,6.163314804,4.777441407,0,5.199049365,2.186051277,6.747703891,6.66121515,1.945910149,2.67669361,2.074816441,0,2.25791845,0.949390007,2.930490565,2.892928982,0.84509804,55.6
469,117.2,0,137.8,32.2,852.1,840.5,7,6.150602768,4.763881877,0,4.925803359,3.471966453,6.747703891,6.733996953,1.945910149,2.671172843,2.068927612,0,2.139249218,1.507855872,2.930490565,2.924537718,0.84509804,54.9
425,106.3,0,153.5,16.5,852.1,887.1,7,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,1.945910149,2.62838893,2.026533265,0,2.18610838,1.217483944,2.930490565,2.947972579,0.84509804,49.2
388.6,97.1,0,157.9,12.1,852.1,925.7,7,5.962550537,4.575741375,0,5.061961921,2.493205453,6.747703891,6.830550208,1.945910149,2.589502796,1.98721923,0,2.19838213,1.08278537,2.930490565,2.966470264,0.84509804,34.9
531.3,0,0,141.8,28.2,852.1,893.7,7,6.275326833,0,0,4.954417614,3.339321978,6.747703891,6.795370148,1.945910149,2.725339816,0,0,2.151676231,1.450249108,2.930490565,2.951191758,0.84509804,46.9
425,106.3,0,153.5,16.5,852.1,887.1,7,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,1.945910149,2.62838893,2.026533265,0,2.18610838,1.217483944,2.930490565,2.947972579,0.84509804,49.2
318.8,212.5,0,155.7,14.3,852.1,880.4,7,5.764563947,5.358941988,0,5.047931079,2.660259537,6.747703891,6.78037635,1.945910149,2.503518313,2.327358934,0,2.192288613,1.155336037,2.930490565,2.944680034,0.84509804,33.4
401.8,94.7,0,147.4,11.4,946.8,852.1,7,5.995954452,4.550714,0,4.99314998,2.433613355,6.853087878,6.747703891,1.945910149,2.604009932,1.976349979,0,2.168497484,1.056904851,2.976258249,2.930490565,0.84509804,54.1
362.6,189,0,164.9,11.6,944.7,755.8,7,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,1.945910149,2.5594278,2.276461804,0,2.217220656,1.064457989,2.975293915,2.878406888,0.84509804,55.9
323.7,282.8,0,183.8,10.3,942.7,659.9,7,5.779817161,5.644739934,0,5.21384821,2.332143895,6.848748098,6.492088308,1.945910149,2.510142699,2.451479405,0,2.264345507,1.012837225,2.974373507,2.819478128,0.84509804,49.8
379.5,151.2,0,153.9,15.9,1134.3,605,7,5.938854597,5.018603464,0,5.036303041,2.766319109,7.033771,6.405228458,1.945910149,2.57921178,2.179551791,0,2.18723862,1.201397124,3.054727932,2.781755375,0.84509804,47.1
362.6,189,0,164.9,11.6,944.7,755.8,7,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,1.945910149,2.5594278,2.276461804,0,2.217220656,1.064457989,2.975293915,2.878406888,0.84509804,55.9
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,5.657040212,5.302807272,0,4.974662634,2.415913778,6.912344731,6.689226065,1.945910149,2.456821348,2.302979937,0,2.160468531,1.049218023,3.001993174,2.905093968,0.84509804,38
362.6,189,0,164.9,11.6,944.7,755.8,7,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,1.945910149,2.5594278,2.276461804,0,2.217220656,1.064457989,2.975293915,2.878406888,0.84509804,55.9
439,177,0,186,11.1,884.9,707.9,7,6.084499413,5.176149733,0,5.225746674,2.406945108,6.785474644,6.562302841,1.945910149,2.64246452,2.247973266,0,2.269512944,1.045322979,2.946894195,2.849971912,0.84509804,56.1
389.9,189,0,145.9,22,944.7,755.8,7,5.965890296,5.241747015,0,4.982921456,3.091042453,6.850867417,6.627776791,1.945910149,2.590953235,2.276461804,0,2.164055292,1.342422681,2.975293915,2.878406888,0.84509804,59.09
362.6,189,0,164.9,11.6,944.7,755.8,7,5.893300298,5.241747015,0,5.10533923,2.451005098,6.850867417,6.627776791,1.945910149,2.5594278,2.276461804,0,2.217220656,1.064457989,2.975293915,2.878406888,0.84509804,22.9
337.9,189,0,174.9,9.5,944.7,755.8,7,5.822749994,5.241747015,0,5.164214382,2.251291799,6.850867417,6.627776791,1.945910149,2.528788192,2.276461804,0,2.242789809,0.977723605,2.975293915,2.878406888,0.84509804,35.1
374,189.2,0,170.1,10.1,926.1,756.7,28,5.924255797,5.242804657,0,5.136386499,2.312535424,6.83098222,6.628966874,3.33220451,2.572871602,2.276921132,0,2.230704314,1.004321374,2.966657884,2.878923734,1.447158031,61.09
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,5.747161198,5.569107571,0,5.167639043,2.151762203,6.953588695,6.416405432,3.33220451,2.495960395,2.418632687,0,2.244277121,0.934498451,3.0199052,2.786609473,1.447158031,59.8
425,106.3,0,153.5,16.5,852.1,887.1,28,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,3.33220451,2.62838893,2.026533265,0,2.18610838,1.217483944,2.930490565,2.947972579,1.447158031,60.29
425,106.3,0,151.4,18.6,936,803.7,28,6.052089169,4.666265285,0,5.019925341,2.923161581,6.841615476,6.689226065,3.33220451,2.62838893,2.026533265,0,2.180125875,1.269512944,2.971275849,2.905093968,1.447158031,61.8
375,93.8,0,126.6,23.4,852.1,992.6,28,5.926926026,4.541164856,0,4.84103251,3.152736022,6.747703891,6.900327763,3.33220451,2.574031268,1.972202838,0,2.102433706,1.369215857,2.930490565,2.996774271,1.447158031,56.7
475,118.8,0,181.1,8.9,852.1,781.5,28,6.163314804,4.777441407,0,5.199049365,2.186051277,6.747703891,6.66121515,3.33220451,2.67669361,2.074816441,0,2.25791845,0.949390007,2.930490565,2.892928982,1.447158031,68.3
469,117.2,0,137.8,32.2,852.1,840.5,28,6.150602768,4.763881877,0,4.925803359,3.471966453,6.747703891,6.733996953,3.33220451,2.671172843,2.068927612,0,2.139249218,1.507855872,2.930490565,2.924537718,1.447158031,66.9
425,106.3,0,153.5,16.5,852.1,887.1,28,6.052089169,4.666265285,0,5.033700567,2.803360381,6.747703891,6.787957716,3.33220451,2.62838893,2.026533265,0,2.18610838,1.217483944,2.930490565,2.947972579,1.447158031,60.29
388.6,97.1,0,157.9,12.1,852.1,925.7,28,5.962550537,4.575741375,0,5.061961921,2.493205453,6.747703891,6.830550208,3.33220451,2.589502796,1.98721923,0,2.19838213,1.08278537,2.930490565,2.966470264,1.447158031,50.7
