cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate ,age,ln_cement,ln_blast_furnace_slag,ln_fly_ash,ln_water,ln_superplasticizer,ln_coarse_aggregate,ln_fine_aggregate ,ln_age,sqrt_cement,sqrt_blast_furnace_slag,sqrt_fly_ash,sqrt_water,sqrt_superplasticizer,sqrt_coarse_aggregate,sqrt_fine_aggregate ,sqrt_age,log2_cement,log2_blast_furnace_slag,log2_fly_ash,log2_water,log2_superplasticizer,log2_coarse_aggregate,log2_fine_aggregate ,log2_age,log10_ln_cement,log10_ln_blast_furnace_slag,log10_ln_fly_ash,log10_ln_water,log10_ln_superplasticizer,log10_ln_coarse_aggregate,log10_ln_fine_aggregate ,log10_ln_age,sqrt2_log2_cement,sqrt2_log2_blast_furnace_slag,sqrt2_log2_fly_ash,sqrt2_log2_water,sqrt2_log2_superplasticizer,sqrt2_log2_coarse_aggregate,sqrt2_log2_fine_aggregate ,sqrt2_log2_age,cement,blast_furnace_slag,fly_ash,water,superplasticizer,coarse_aggregate,fine_aggregate ,age,concrete_compressive_strength
198.6,132.4,0,192,0,978.4,825.5,90,5.291292752,4.885827644,0,5.257495372,0,6.885918584,6.715989263,4.49980967,14.09255122,11.50651989,0,13.85640646,0,31.27938618,28.7315158,9.486832981,7.633721813,7.048759312,0,7.584962501,0,9.934280594,9.689124405,6.491853096,2.297979244,2.121887985,0,2.283301229,0,2.990516444,2.916717078,1.954242509,3.754004692,3.392126161,0,3.722419436,0,5.592797706,5.360178709,3.080070288,198.6,132.4,0,192,0,978.4,825.5,90,38.07
198.6,132.4,0,192,0,978.4,825.5,28,5.291292752,4.885827644,0,5.257495372,0,6.885918584,6.715989263,3.33220451,14.09255122,11.50651989,0,13.85640646,0,31.27938618,28.7315158,5.291502622,7.633721813,7.048759312,0,7.584962501,0,9.934280594,9.689124405,4.807354922,2.297979244,2.121887985,0,2.283301229,0,2.990516444,2.916717078,1.447158031,3.754004692,3.392126161,0,3.722419436,0,5.592797706,5.360178709,2.300326634,198.6,132.4,0,192,0,978.4,825.5,28,28.02
427.5,47.5,0,228,0,932,594,270,6.057954288,3.860729711,0,5.429345629,0,6.837332815,6.386879319,5.598421959,20.67607313,6.892024376,0,15.09966887,0,30.52867504,24.37211521,16.43167673,8.73978061,5.569855608,0,7.832890014,0,9.864186145,9.214319121,8.076815597,2.630936119,1.67669361,0,2.357934847,0,2.969415912,2.773786445,2.431363764,4.547095021,2.625266534,0,3.885829238,0,5.525276015,4.936812252,4.053600464,427.5,47.5,0,228,0,932,594,270,43.01
190,190,0,228,0,932,670,90,5.247024072,5.247024072,0,5.429345629,0,6.837332815,6.507277712,4.49980967,13.78404875,13.78404875,0,15.09966887,0,30.52867504,25.88435821,9.486832981,7.569855608,7.569855608,0,7.832890014,0,9.864186145,9.388017285,6.491853096,2.278753601,2.278753601,0,2.357934847,0,2.969415912,2.826074803,1.954242509,3.712687538,3.712687538,0,3.885829238,0,5.525276015,5.087667266,3.080070288,190,190,0,228,0,932,670,90,42.33
304,76,0,228,0,932,670,28,5.717027701,4.33073334,0,5.429345629,0,6.837332815,6.507277712,3.33220451,17.43559577,8.717797887,0,15.09966887,0,30.52867504,25.88435821,5.291502622,8.247927513,6.247927513,0,7.832890014,0,9.864186145,9.388017285,4.807354922,2.482873584,1.880813592,0,2.357934847,0,2.969415912,2.826074803,1.447158031,4.17559526,2.952591724,0,3.885829238,0,5.525276015,5.087667266,2.300326634,304,76,0,228,0,932,670,28,47.81
380,0,0,228,0,932,670,90,5.940171253,0,0,5.429345629,0,6.837332815,6.507277712,4.49980967,19.49358869,0,0,15.09966887,0,30.52867504,25.88435821,9.486832981,8.569855608,0,0,7.832890014,0,9.864186145,9.388017285,6.491853096,2.579783597,0,0,2.357934847,0,2.969415912,2.826074803,1.954242509,4.415154436,0,0,3.885829238,0,5.525276015,5.087667266,3.080070288,380,0,0,228,0,932,670,90,52.91
139.6,209.4,0,192,0,1047,806.9,90,4.93878119,5.344246298,0,5.257495372,0,6.953684211,6.693199745,4.49980967,11.81524439,14.47065997,0,13.85640646,0,32.35737937,28.40598528,9.486832981,7.125155131,7.710117632,0,7.584962501,0,10.03204573,9.65624608,6.491853096,2.144885418,2.320976677,0,2.283301229,0,3.019946682,2.906819715,1.954242509,3.437330998,3.804032068,0,3.722419436,0,5.688354716,5.329726568,3.080070288,139.6,209.4,0,192,0,1047,806.9,90,39.36
342,38,0,228,0,932,670,365,5.834810737,3.63758616,0,5.429345629,0,6.837332815,6.507277712,5.899897354,18.49324201,6.164414003,0,15.09966887,0,30.52867504,25.88435821,19.10497317,8.417852515,5.247927513,0,7.832890014,0,9.864186145,9.388017285,8.511752654,2.534026106,1.579783597,0,2.357934847,0,2.969415912,2.826074803,2.562292864,4.300376961,2.482823796,0,3.885829238,0,5.525276015,5.087667266,4.370923607,342,38,0,228,0,932,670,365,56.14
380,95,0,228,0,932,594,90,5.940171253,4.553876892,0,5.429345629,0,6.837332815,6.386879319,4.49980967,19.49358869,9.746794345,0,15.09966887,0,30.52867504,24.37211521,9.486832981,8.569855608,6.569855608,0,7.832890014,0,9.864186145,9.214319121,6.491853096,2.579783597,1.977723605,0,2.357934847,0,2.969415912,2.773786445,1.954242509,4.415154436,3.121985641,0,3.885829238,0,5.525276015,4.936812252,3.080070288,380,95,0,228,0,932,594,90,40.56
475,0,0,228,0,932,594,180,6.163314804,0,0,5.429345629,0,6.837332815,6.386879319,5.192956851,21.79449472,0,0,15.09966887,0,30.52867504,24.37211521,13.41640786,8.891783703,0,0,7.832890014,0,9.864186145,9.214319121,7.491853096,2.67669361,0,0,2.357934847,0,2.969415912,2.773786445,2.255272505,4.668457424,0,0,3.885829238,0,5.525276015,4.936812252,3.662841501,475,0,0,228,0,932,594,180,42.62
427.5,47.5,0,228,0,932,594,180,6.057954288,3.860729711,0,5.429345629,0,6.837332815,6.386879319,5.192956851,20.67607313,6.892024376,0,15.09966887,0,30.52867504,24.37211521,13.41640786,8.73978061,5.569855608,0,7.832890014,0,9.864186145,9.214319121,7.491853096,2.630936119,1.67669361,0,2.357934847,0,2.969415912,2.773786445,2.255272505,4.547095021,2.625266534,0,3.885829238,0,5.525276015,4.936812252,3.662841501,427.5,47.5,0,228,0,932,594,180,41.84
139.6,209.4,0,192,0,1047,806.9,28,4.93878119,5.344246298,0,5.257495372,0,6.953684211,6.693199745,3.33220451,11.81524439,14.47065997,0,13.85640646,0,32.35737937,28.40598528,5.291502622,7.125155131,7.710117632,0,7.584962501,0,10.03204573,9.65624608,4.807354922,2.144885418,2.320976677,0,2.283301229,0,3.019946682,2.906819715,1.447158031,3.437330998,3.804032068,0,3.722419436,0,5.688354716,5.329726568,2.300326634,139.6,209.4,0,192,0,1047,806.9,28,28.24
139.6,209.4,0,192,0,1047,806.9,3,4.93878119,5.344246298,0,5.257495372,0,6.953684211,6.693199745,1.098612289,11.81524439,14.47065997,0,13.85640646,0,32.35737937,28.40598528,1.732050808,7.125155131,7.710117632,0,7.584962501,0,10.03204573,9.65624608,1.584962501,2.144885418,2.320976677,0,2.283301229,0,3.019946682,2.906819715,0.477121255,3.437330998,3.804032068,0,3.722419436,0,5.688354716,5.329726568,1.316074013,139.6,209.4,0,192,0,1047,806.9,3,8.06
139.6,209.4,0,192,0,1047,806.9,180,4.93878119,5.344246298,0,5.257495372,0,6.953684211,6.693199745,5.192956851,11.81524439,14.47065997,0,13.85640646,0,32.35737937,28.40598528,13.41640786,7.125155131,7.710117632,0,7.584962501,0,10.03204573,9.65624608,7.491853096,2.144885418,2.320976677,0,2.283301229,0,3.019946682,2.906819715,2.255272505,3.437330998,3.804032068,0,3.722419436,0,5.688354716,5.329726568,3.662841501,139.6,209.4,0,192,0,1047,806.9,180,44.21
380,0,0,228,0,932,670,365,5.940171253,0,0,5.429345629,0,6.837332815,6.507277712,5.899897354,19.49358869,0,0,15.09966887,0,30.52867504,25.88435821,19.10497317,8.569855608,0,0,7.832890014,0,9.864186145,9.388017285,8.511752654,2.579783597,0,0,2.357934847,0,2.969415912,2.826074803,2.562292864,4.415154436,0,0,3.885829238,0,5.525276015,5.087667266,4.370923607,380,0,0,228,0,932,670,365,52.52
380,0,0,228,0,932,670,270,5.940171253,0,0,5.429345629,0,6.837332815,6.507277712,5.598421959,19.49358869,0,0,15.09966887,0,30.52867504,25.88435821,16.43167673,8.569855608,0,0,7.832890014,0,9.864186145,9.388017285,8.076815597,2.579783597,0,0,2.357934847,0,2.969415912,2.826074803,2.431363764,4.415154436,0,0,3.885829238,0,5.525276015,5.087667266,4.053600464,380,0,0,228,0,932,670,270,53.3
380,95,0,228,0,932,594,270,5.940171253,4.553876892,0,5.429345629,0,6.837332815,6.386879319,5.598421959,19.49358869,9.746794345,0,15.09966887,0,30.52867504,24.37211521,16.43167673,8.569855608,6.569855608,0,7.832890014,0,9.864186145,9.214319121,8.076815597,2.579783597,1.977723605,0,2.357934847,0,2.969415912,2.773786445,2.431363764,4.415154436,3.121985641,0,3.885829238,0,5.525276015,4.936812252,4.053600464,380,95,0,228,0,932,594,270,41.15
342,38,0,228,0,932,670,180,5.834810737,3.63758616,0,5.429345629,0,6.837332815,6.507277712,5.192956851,18.49324201,6.164414003,0,15.09966887,0,30.52867504,25.88435821,13.41640786,8.417852515,5.247927513,0,7.832890014,0,9.864186145,9.388017285,7.491853096,2.534026106,1.579783597,0,2.357934847,0,2.969415912,2.826074803,2.255272505,4.300376961,2.482823796,0,3.885829238,0,5.525276015,5.087667266,3.662841501,342,38,0,228,0,932,670,180,52.12
427.5,47.5,0,228,0,932,594,28,6.057954288,3.860729711,0,5.429345629,0,6.837332815,6.386879319,3.33220451,20.67607313,6.892024376,0,15.09966887,0,30.52867504,24.37211521,5.291502622,8.73978061,5.569855608,0,7.832890014,0,9.864186145,9.214319121,4.807354922,2.630936119,1.67669361,0,2.357934847,0,2.969415912,2.773786445,1.447158031,4.547095021,2.625266534,0,3.885829238,0,5.525276015,4.936812252,2.300326634,427.5,47.5,0,228,0,932,594,28,37.43
475,0,0,228,0,932,594,7,6.163314804,0,0,5.429345629,0,6.837332815,6.386879319,1.945910149,21.79449472,0,0,15.09966887,0,30.52867504,24.37211521,2.645751311,8.891783703,0,0,7.832890014,0,9.864186145,9.214319121,2.807354922,2.67669361,0,0,2.357934847,0,2.969415912,2.773786445,0.84509804,4.668457424,0,0,3.885829238,0,5.525276015,4.936812252,1.626576562,475,0,0,228,0,932,594,7,38.6
304,76,0,228,0,932,670,365,5.717027701,4.33073334,0,5.429345629,0,6.837332815,6.507277712,5.899897354,17.43559577,8.717797887,0,15.09966887,0,30.52867504,25.88435821,19.10497317,8.247927513,6.247927513,0,7.832890014,0,9.864186145,9.388017285,8.511752654,2.482873584,1.880813592,0,2.357934847,0,2.969415912,2.826074803,2.562292864,4.17559526,2.952591724,0,3.885829238,0,5.525276015,5.087667266,4.370923607,304,76,0,228,0,932,670,365,55.26
266,114,0,228,0,932,670,365,5.583496309,4.736198448,0,5.429345629,0,6.837332815,6.507277712,5.899897354,16.30950643,10.67707825,0,15.09966887,0,30.52867504,25.88435821,19.10497317,8.055282436,6.832890014,0,7.832890014,0,9.864186145,9.388017285,8.511752654,2.424881637,2.056904851,0,2.357934847,0,2.969415912,2.826074803,2.562292864,4.038502994,3.267579877,0,3.885829238,0,5.525276015,5.087667266,4.370923607,266,114,0,228,0,932,670,365,52.91
198.6,132.4,0,192,0,978.4,825.5,180,5.291292752,4.885827644,0,5.257495372,0,6.885918584,6.715989263,5.192956851,14.09255122,11.50651989,0,13.85640646,0,31.27938618,28.7315158,13.41640786,7.633721813,7.048759312,0,7.584962501,0,9.934280594,9.689124405,7.491853096,2.297979244,2.121887985,0,2.283301229,0,2.990516444,2.916717078,2.255272505,3.754004692,3.392126161,0,3.722419436,0,5.592797706,5.360178709,3.662841501,198.6,132.4,0,192,0,978.4,825.5,180,41.72
475,0,0,228,0,932,594,270,6.163314804,0,0,5.429345629,0,6.837332815,6.386879319,5.598421959,21.79449472,0,0,15.09966887,0,30.52867504,24.37211521,16.43167673,8.891783703,0,0,7.832890014,0,9.864186145,9.214319121,8.076815597,2.67669361,0,0,2.357934847,0,2.969415912,2.773786445,2.431363764,4.668457424,0,0,3.885829238,0,5.525276015,4.936812252,4.053600464,475,0,0,228,0,932,594,270,42.13
190,190,0,228,0,932,670,365,5.247024072,5.247024072,0,5.429345629,0,6.837332815,6.507277712,5.899897354,13.78404875,13.78404875,0,15.09966887,0,30.52867504,25.88435821,19.10497317,7.569855608,7.569855608,0,7.832890014,0,9.864186145,9.388017285,8.511752654,2.278753601,2.278753601,0,2.357934847,0,2.969415912,2.826074803,2.562292864,3.712687538,3.712687538,0,3.885829238,0,5.525276015,5.087667266,4.370923607,190,190,0,228,0,932,670,365,53.69
237.5,237.5,0,228,0,932,594,270,5.470167623,5.470167623,0,5.429345629,0,6.837332815,6.386879319,5.598421959,15.41103501,15.41103501,0,15.09966887,0,30.52867504,24.37211521,16.43167673,7.891783703,7.891783703,0,7.832890014,0,9.864186145,9.214319121,8.076815597,2.375663614,2.375663614,0,2.357934847,0,2.969415912,2.773786445,2.431363764,3.925689112,3.925689112,0,3.885829238,0,5.525276015,4.936812252,4.053600464,237.5,237.5,0,228,0,932,594,270,38.41
237.5,237.5,0,228,0,932,594,28,5.470167623,5.470167623,0,5.429345629,0,6.837332815,6.386879319,3.33220451,15.41103501,15.41103501,0,15.09966887,0,30.52867504,24.37211521,5.291502622,7.891783703,7.891783703,0,7.832890014,0,9.864186145,9.214319121,4.807354922,2.375663614,2.375663614,0,2.357934847,0,2.969415912,2.773786445,1.447158031,3.925689112,3.925689112,0,3.885829238,0,5.525276015,4.936812252,2.300326634,237.5,237.5,0,228,0,932,594,28,30.08
332.5,142.5,0,228,0,932,594,90,5.80663986,4.959342,0,5.429345629,0,6.837332815,6.386879319,4.49980967,18.23458253,11.93733639,0,15.09966887,0,30.52867504,24.37211521,9.486832981,8.37721053,7.154818109,0,7.832890014,0,9.864186145,9.214319121,6.491853096,2.52179165,2.153814864,0,2.357934847,0,2.969415912,2.773786445,1.954242509,4.270197013,3.455045063,0,3.885829238,0,5.525276015,4.936812252,3.080070288,332.5,142.5,0,228,0,932,594,90,37.72
475,0,0,228,0,932,594,90,6.163314804,0,0,5.429345629,0,6.837332815,6.386879319,4.49980967,21.79449472,0,0,15.09966887,0,30.52867504,24.37211521,9.486832981,8.891783703,0,0,7.832890014,0,9.864186145,9.214319121,6.491853096,2.67669361,0,0,2.357934847,0,2.969415912,2.773786445,1.954242509,4.668457424,0,0,3.885829238,0,5.525276015,4.936812252,3.080070288,475,0,0,228,0,932,594,90,42.23
237.5,237.5,0,228,0,932,594,180,5.470167623,5.470167623,0,5.429345629,0,6.837332815,6.386879319,5.192956851,15.41103501,15.41103501,0,15.09966887,0,30.52867504,24.37211521,13.41640786,7.891783703,7.891783703,0,7.832890014,0,9.864186145,9.214319121,7.491853096,2.375663614,2.375663614,0,2.357934847,0,2.969415912,2.773786445,2.255272505,3.925689112,3.925689112,0,3.885829238,0,5.525276015,4.936812252,3.662841501,237.5,237.5,0,228,0,932,594,180,36.25
342,38,0,228,0,932,670,90,5.834810737,3.63758616,0,5.429345629,0,6.837332815,6.507277712,4.49980967,18.49324201,6.164414003,0,15.09966887,0,30.52867504,25.88435821,9.486832981,8.417852515,5.247927513,0,7.832890014,0,9.864186145,9.388017285,6.491853096,2.534026106,1.579783597,0,2.357934847,0,2.969415912,2.826074803,1.954242509,4.300376961,2.482823796,0,3.885829238,0,5.525276015,5.087667266,3.080070288,342,38,0,228,0,932,670,90,50.46
427.5,47.5,0,228,0,932,594,365,6.057954288,3.860729711,0,5.429345629,0,6.837332815,6.386879319,5.899897354,20.67607313,6.892024376,0,15.09966887,0,30.52867504,24.37211521,19.10497317,8.73978061,5.569855608,0,7.832890014,0,9.864186145,9.214319121,8.511752654,2.630936119,1.67669361,0,2.357934847,0,2.969415912,2.773786445,2.562292864,4.547095021,2.625266534,0,3.885829238,0,5.525276015,4.936812252,4.370923607,427.5,47.5,0,228,0,932,594,365,43.7
237.5,237.5,0,228,0,932,594,365,5.470167623,5.470167623,0,5.429345629,0,6.837332815,6.386879319,5.899897354,15.41103501,15.41103501,0,15.09966887,0,30.52867504,24.37211521,19.10497317,7.891783703,7.891783703,0,7.832890014,0,9.864186145,9.214319121,8.511752654,2.375663614,2.375663614,0,2.357934847,0,2.969415912,2.773786445,2.562292864,3.925689112,3.925689112,0,3.885829238,0,5.525276015,4.936812252,4.370923607,237.5,237.5,0,228,0,932,594,365,39
380,0,0,228,0,932,670,180,5.940171253,0,0,5.429345629,0,6.837332815,6.507277712,5.192956851,19.49358869,0,0,15.09966887,0,30.52867504,25.88435821,13.41640786,8.569855608,0,0,7.832890014,0,9.864186145,9.388017285,7.491853096,2.579783597,0,0,2.357934847,0,2.969415912,2.826074803,2.255272505,4.415154436,0,0,3.885829238,0,5.525276015,5.087667266,3.662841501,380,0,0,228,0,932,670,180,53.1
427.5,47.5,0,228,0,932,594,90,6.057954288,3.860729711,0,5.429345629,0,6.837332815,6.386879319,4.49980967,20.67607313,6.892024376,0,15.09966887,0,30.52867504,24.37211521,9.486832981,8.73978061,5.569855608,0,7.832890014,0,9.864186145,9.214319121,6.491853096,2.630936119,1.67669361,0,2.357934847,0,2.969415912,2.773786445,1.954242509,4.547095021,2.625266534,0,3.885829238,0,5.525276015,4.936812252,3.080070288,427.5,47.5,0,228,0,932,594,90,41.54
427.5,47.5,0,228,0,932,594,7,6.057954288,3.860729711,0,5.429345629,0,6.837332815,6.386879319,1.945910149,20.67607313,6.892024376,0,15.09966887,0,30.52867504,24.37211521,2.645751311,8.73978061,5.569855608,0,7.832890014,0,9.864186145,9.214319121,2.807354922,2.630936119,1.67669361,0,2.357934847,0,2.969415912,2.773786445,0.84509804,4.547095021,2.625266534,0,3.885829238,0,5.525276015,4.936812252,1.626576562,427.5,47.5,0,228,0,932,594,7,35.08
349,0,0,192,0,1047,806.9,3,5.855071922,0,0,5.257495372,0,6.953684211,6.693199745,1.098612289,18.68154169,0,0,13.85640646,0,32.35737937,28.40598528,1.732050808,8.447083226,0,0,7.584962501,0,10.03204573,9.65624608,1.584962501,2.542825427,0,0,2.283301229,0,3.019946682,2.906819715,0.477121255,4.322214906,0,0,3.722419436,0,5.688354716,5.329726568,1.316074013,349,0,0,192,0,1047,806.9,3,15.05
380,95,0,228,0,932,594,180,5.940171253,4.553876892,0,5.429345629,0,6.837332815,6.386879319,5.192956851,19.49358869,9.746794345,0,15.09966887,0,30.52867504,24.37211521,13.41640786,8.569855608,6.569855608,0,7.832890014,0,9.864186145,9.214319121,7.491853096,2.579783597,1.977723605,0,2.357934847,0,2.969415912,2.773786445,2.255272505,4.415154436,3.121985641,0,3.885829238,0,5.525276015,4.936812252,3.662841501,380,95,0,228,0,932,594,180,40.76
237.5,237.5,0,228,0,932,594,7,5.470167623,5.470167623,0,5.429345629,0,6.837332815,6.386879319,1.945910149,15.41103501,15.41103501,0,15.09966887,0,30.52867504,24.37211521,2.645751311,7.891783703,7.891783703,0,7.832890014,0,9.864186145,9.214319121,2.807354922,2.375663614,2.375663614,0,2.357934847,0,2.969415912,2.773786445,0.84509804,3.925689112,3.925689112,0,3.885829238,0,5.525276015,4.936812252,1.626576562,237.5,237.5,0,228,0,932,594,7,26.26
380,95,0,228,0,932,594,7,5.940171253,4.553876892,0,5.429345629,0,6.837332815,6.386879319,1.945910149,19.49358869,9.746794345,0,15.09966887,0,30.52867504,24.37211521,2.645751311,8.569855608,6.569855608,0,7.832890014,0,9.864186145,9.214319121,2.807354922,2.579783597,1.977723605,0,2.357934847,0,2.969415912,2.773786445,0.84509804,4.415154436,3.121985641,0,3.885829238,0,5.525276015,4.936812252,1.626576562,380,95,0,228,0,932,594,7,32.82
332.5,142.5,0,228,0,932,594,180,5.80663986,4.959342,0,5.429345629,0,6.837332815,6.386879319,5.192956851,18.23458253,11.93733639,0,15.09966887,0,30.52867504,24.37211521,13.41640786,8.37721053,7.154818109,0,7.832890014,0,9.864186145,9.214319121,7.491853096,2.52179165,2.153814864,0,2.357934847,0,2.969415912,2.773786445,2.255272505,4.270197013,3.455045063,0,3.885829238,0,5.525276015,4.936812252,3.662841501,332.5,142.5,0,228,0,932,594,180,39.78
190,190,0,228,0,932,670,180,5.247024072,5.247024072,0,5.429345629,0,6.837332815,6.507277712,5.192956851,13.78404875,13.78404875,0,15.09966887,0,30.52867504,25.88435821,13.41640786,7.569855608,7.569855608,0,7.832890014,0,9.864186145,9.388017285,7.491853096,2.278753601,2.278753601,0,2.357934847,0,2.969415912,2.826074803,2.255272505,3.712687538,3.712687538,0,3.885829238,0,5.525276015,5.087667266,3.662841501,190,190,0,228,0,932,670,180,46.93
237.5,237.5,0,228,0,932,594,90,5.470167623,5.470167623,0,5.429345629,0,6.837332815,6.386879319,4.49980967,15.41103501,15.41103501,0,15.09966887,0,30.52867504,24.37211521,9.486832981,7.891783703,7.891783703,0,7.832890014,0,9.864186145,9.214319121,6.491853096,2.375663614,2.375663614,0,2.357934847,0,2.969415912,2.773786445,1.954242509,3.925689112,3.925689112,0,3.885829238,0,5.525276015,4.936812252,3.080070288,237.5,237.5,0,228,0,932,594,90,33.12
304,76,0,228,0,932,670,90,5.717027701,4.33073334,0,5.429345629,0,6.837332815,6.507277712,4.49980967,17.43559577,8.717797887,0,15.09966887,0,30.52867504,25.88435821,9.486832981,8.247927513,6.247927513,0,7.832890014,0,9.864186145,9.388017285,6.491853096,2.482873584,1.880813592,0,2.357934847,0,2.969415912,2.826074803,1.954242509,4.17559526,2.952591724,0,3.885829238,0,5.525276015,5.087667266,3.080070288,304,76,0,228,0,932,670,90,49.19
