fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,ln_fixed acidity,ln_volatile acidity,ln_citric acid,ln_residual sugar,ln_chlorides,ln_free sulfur dioxide,ln_total sulfur dioxide,ln_density,ln_pH,ln_sulphates,ln_alcohol,quality
7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,1.960094784,-0.342490309,-6.907755279,0.641853886,-2.525728644,2.63905733,3.555348061,-0.002803927,1.244154594,-0.597837001,2.240709689,5
7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,2.054123734,-0.438504962,-6.907755279,0.693147181,-2.501036032,2.079441542,2.772588722,-0.003606496,1.217875709,-0.527632742,2.282382386,6
6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,1.902107526,-0.393042588,-2.659260037,0.875468737,-2.419118909,2.833213344,4.406719247,-0.004208845,1.208960346,-0.616186139,2.312535424,5
6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,1.931521412,-0.378336441,-6.907755279,0.916290732,-2.253794929,3.091042453,3.610917913,-0.003405793,1.241268589,-0.562118918,2.360854001,6
8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,2.116255515,-0.423120043,-2.120263536,0.832909123,-2.488914671,2.708050201,4.727387819,-0.003405793,1.153731588,-0.415515444,2.282382386,5
6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,1.931521412,-0.502526821,-2.120263536,2.370243741,-2.617295838,3.688879454,4.418840608,-0.000700245,1.238374231,-0.653926467,2.240709689,6
5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,1.648658626,-1.139434283,-1.386294361,0.587786665,-2.273026291,2.564949357,3.912023005,-0.004309272,1.217875709,-0.597837001,2.219203484,5
7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,2.054123734,-0.438504962,-6.907755279,1.704748092,-2.453407983,1.609437912,2.890371758,-0.001400981,1.223775432,-0.597837001,2.261763098,6
7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,2.054123734,-0.510825624,-1.966112856,0.875468737,-2.453407983,1.098612289,2.708050201,-0.00250313,1.229640551,-0.510825624,2.379546134,6
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,2.091864062,-0.967584026,-1.272965676,0.741937345,-2.718100537,2.564949357,3.401197382,-0.003205131,1.172482137,-0.314710745,2.272125886,7
5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,1.740466175,0.122217633,-2.407945609,0.405465108,-1.760260802,1.945910149,2.944438979,-0.006018072,1.252762968,-0.733969175,2.282382386,4
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,1.987874348,-0.798507696,-1.021651248,1.774952351,-2.603690186,2.48490665,4.465908119,-0.002202424,1.202972304,-0.186329578,2.351375257,5
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,1.987874348,-0.798507696,-1.021651248,1.774952351,-2.603690186,2.48490665,4.465908119,-0.002202424,1.202972304,-0.186329578,2.351375257,5
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,2.174751721,-0.494296322,-1.203972804,1.029619417,-2.430418465,2.833213344,3.828641396,-0.002402885,1.181727195,-0.673344553,2.2300144,4
7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,2.014903021,-0.713349888,-1.609437912,0.955511445,-1.10262031,2.079441542,2.63905733,-0.003205131,1.166270937,-0.105360516,2.351375257,6
8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,2.091864062,-0.415515444,-1.514127733,0.78845736,-2.673648774,2.197224577,3.135494216,-0.003205131,1.193922468,0.182321557,2.332143895,5
6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,1.916922612,-0.400477567,-3.912023005,0.587786665,-2.995732274,1.609437912,2.397895273,-0.003807238,1.247032294,-0.653926467,2.251291799,5
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,1.526056303,-0.653926467,-1.897119985,0.741937345,-2.918771232,2.079441542,4.17438727,-0.006621876,1.360976553,-0.579818495,2.57261223,4
7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,2.041220329,-0.06720875,-0.84397007,0.78845736,-2.171556831,3.091042453,4.736198448,-0.003004509,1.178654996,-0.314710745,2.219203484,5
8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,2.163323026,-1.237874356,-0.653926467,0.470003629,-2.18036746,2.48490665,3.610917913,-0.003104815,1.178654996,-0.544727175,2.251291799,5
6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,1.85629799,-0.916290732,-1.46967597,0.470003629,-2.718100537,1.609437912,2.48490665,-0.004208845,1.205970807,-0.579818495,2.219203484,5
5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,1.722766598,-1.171182982,-0.994252273,0.336472237,-2.603690186,2.48490665,4.564348191,-0.004610613,1.199964783,-0.544727175,2.219203484,5
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,2.174751721,-0.415515444,-1.347073648,0.530628251,-2.603690186,1.386294361,3.135494216,-0.002904213,1.147402453,-0.301105093,2.219203484,5
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,1.887069649,-0.653926467,-3.218875825,0.78845736,-2.673648774,2.079441542,2.708050201,-0.004409708,1.223775432,-0.46203546,2.240709689,6
6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,1.887069649,-0.693147181,-3.218875825,0.741937345,-2.688247574,1.791759469,2.63905733,-0.004510155,1.220829921,-0.446287103,2.240709689,6
8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,2.151762203,-0.967584026,-1.021651248,1.098612289,-2.513306124,3.401197382,4.779123493,-0.003004509,1.16315081,-0.579818495,2.240709689,5
7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,2.028148247,-0.673344553,-1.897119985,1.029619417,-2.207274913,3.496507561,4.290459441,-0.004510155,1.153731588,-0.46203546,2.32238772,6
7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,2.041220329,-0.478035801,-3.218875825,1.335001067,-2.47693848,3.218875825,3.80666249,-0.002202424,1.205970807,-0.634878272,2.251291799,5
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,2.32238772,-0.867500568,-0.562118918,1.223775432,-2.659260037,1.386294361,2.302585093,-0.002904213,1.111857515,-0.46203546,2.261763098,5
7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,2.014903021,-0.46203546,-2.120263536,1.62924054,-2.198225078,3.912023005,4.700480366,-0.001701447,1.181727195,-0.261364764,2.240709689,5
7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,2.054123734,-0.527632742,-1.714798428,0.832909123,-2.577021939,2.833213344,3.988984047,-0.00250313,1.232560261,-0.527632742,2.302585093,5
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,1.987874348,-0.94160854,-1.171182982,0.875468737,-2.603690186,2.197224577,3.828641396,-0.003807238,1.226712291,-0.616186139,2.240709689,6
8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,2.174751721,-0.916290732,-0.916290732,0.78845736,-2.538307427,2.944438979,3.951243719,-0.002002003,1.235471471,-0.446287103,2.219203484,5
7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,2.041220329,-0.371063681,-0.713349888,0.587786665,-2.162823151,2.995732274,4.718498871,-0.003205131,1.166270937,-0.342490309,2.2300144,5
7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,2.014903021,-0.653926467,-1.832581464,0.641853886,-2.465104022,2.48490665,3.555348061,-0.003205131,1.217875709,-0.478035801,2.251291799,7
7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,1.945910149,-0.30788478,-2.995732274,0.693147181,-2.513306124,2.564949357,3.988984047,-0.003405793,1.220829921,-0.562118918,2.282382386,5
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,1.974081026,-0.321583624,-2.995732274,1.53686722,-2.453407983,1.386294361,2.397895273,-0.003807238,1.226712291,-0.94160854,2.388762789,5
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,1.974081026,-0.321583624,-2.995732274,1.53686722,-2.453407983,1.386294361,2.397895273,-0.003807238,1.226712291,-0.94160854,2.388762789,5
7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,2.014903021,-0.653926467,-2.207274913,0.405465108,-2.538307427,2.397895273,3.663561646,-0.003205131,1.229640551,-0.544727175,2.261763098,5
6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,1.887069649,-0.349557476,-2.659260037,0.470003629,-2.577021939,1.791759469,2.708050201,-0.003807238,1.235471471,-0.544727175,2.370243741,5
9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,2.2300144,-1.139434283,-0.562118918,0.693147181,-2.603690186,3.295836866,4.17438727,-0.003104815,1.187843422,-0.235722334,2.370243741,5
8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,2.079441542,-0.349557476,-2.995732274,0.641853886,-2.603690186,2.079441542,2.944438979,-0.003807238,1.205970807,-0.051293294,2.351375257,6
7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,2.041220329,-0.46203546,-2.525728644,0.641853886,-2.577021939,2.708050201,3.295836866,-0.003305457,1.199964783,-0.616186139,2.251291799,6
7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,2.041220329,-0.400477567,-1.46967597,0.741937345,-2.430418465,2.833213344,4.564348191,-0.003807238,1.199964783,-0.733969175,2.251291799,5
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,2.041220329,-0.371063681,-1.514127733,0.641853886,-2.47693848,2.890371758,4.543294782,-0.003907625,1.196948189,-0.733969175,2.251291799,5
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,2.116255515,-0.393042588,-1.347073648,0.741937345,-2.47693848,2.397895273,3.761200116,-0.002402885,1.196948189,-0.634878272,2.219203484,4
9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,2.272125886,-1.139434283,-0.616186139,0.916290732,-2.364460497,3.33220451,4.418840608,-0.001601281,1.187843422,-0.198450939,2.261763098,5
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,2.174751721,-0.891598119,-0.446287103,0.78845736,-2.375155786,2.197224577,3.737669618,-0.001400981,1.264126727,-0.415515444,2.351375257,5
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,2.174751721,-0.891598119,-0.446287103,0.78845736,-2.375155786,2.197224577,3.737669618,-0.001400981,1.264126727,-0.415515444,2.351375257,5
6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,1.916922612,-0.242071561,-6.907755279,0.875468737,-2.26336438,2.63905733,3.401197382,-0.003405793,1.25846099,-0.597837001,2.370243741,6
6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,1.902107526,-0.287682072,-2.120263536,0.693147181,-2.453407983,2.48490665,4.382026635,-0.004208845,1.217875709,-0.653926467,2.312535424,5
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,2.116255515,-0.470003629,-1.609437912,0.405465108,-2.525728644,3.295836866,4.779123493,-0.002803927,1.150572028,0.113328685,2.208274414,4
6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,1.824549292,-0.798507696,-1.609437912,0.470003629,-2.673648774,1.098612289,2.708050201,-0.004208845,1.226712291,-0.579818495,2.219203484,5
7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,2.054123734,-0.84397007,-0.356674944,0.641853886,-0.767870727,3.091042453,4.204692619,-0.002603386,1.141033005,0.246860078,2.240709689,5
7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,2.00148,-0.693147181,-0.755022584,0.693147181,-2.453407983,3.044522438,4.290459441,-0.003004509,1.211940974,-0.562118918,2.208274414,5
7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,1.987874348,-0.400477567,-1.347073648,0.587786665,-0.913793852,2.772588722,3.931825633,-0.003104815,1.150572028,0.131028262,2.240709689,5
6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,1.840549633,-1.203972804,-0.733969175,0.587786665,-2.673648774,2.890371758,4.110873864,-0.004108428,1.235471471,-0.248461359,2.332143895,6
6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,1.931521412,-0.597837001,-1.897119985,0.78845736,-2.577021939,2.944438979,3.688879454,-0.003907625,1.226712291,-0.527632742,2.312535424,5
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,2.151762203,-0.713349888,-1.272965676,0.641853886,-2.207274913,2.995732274,4.912654886,-0.002803927,1.075002423,0.667829373,2.292534757,6
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,2.041220329,-0.713349888,-1.347073648,0.641853886,-2.780620894,2.197224577,3.433987204,-0.003405793,1.220829921,-0.446287103,2.261763098,5
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,2.2300144,-0.94160854,-0.820980552,0.741937345,-2.234926445,3.526360525,4.828313737,-0.002202424,1.1442228,0.198850859,2.251291799,5
7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,1.945910149,-0.478035801,-2.525728644,0.587786665,-2.577021939,2.079441542,3.17805383,-0.002202424,1.247032294,-0.634878272,2.197224577,5
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,2.066862759,-0.653926467,-1.347073648,0.641853886,-2.538307427,3.737669618,4.941642423,-0.003606496,1.172482137,-0.616186139,2.251291799,5
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,2.151762203,-0.713349888,-1.272965676,0.641853886,-2.207274913,2.995732274,4.912654886,-0.002803927,1.075002423,0.667829373,2.292534757,6
8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,2.151762203,-0.713349888,-1.237874356,0.693147181,-2.207274913,2.944438979,4.890349128,-0.002803927,1.075002423,0.683096845,2.282382386,5
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,2.041220329,-0.713349888,-1.347073648,0.641853886,-2.780620894,2.197224577,3.433987204,-0.003405793,1.220829921,-0.446287103,2.261763098,5
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,1.609437912,0.019802627,-3.218875825,0.336472237,-3.101092789,3.713572067,4.442651256,-0.0062193,1.32175584,-0.733969175,2.351375257,4
4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,1.547562509,-0.510825624,-1.771956842,0.832909123,-2.847312268,2.833213344,4.663439094,-0.006823225,1.348073148,-0.510825624,2.557227311,6
6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,1.916922612,-0.25489225,-6.907755279,1.098612289,-2.282782466,2.079441542,3.135494216,-0.003506139,1.238374231,-0.579818495,2.370243741,5
7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,1.945910149,-0.693147181,-1.386294361,0.693147181,-2.659260037,1.098612289,3.091042453,-0.003706862,1.178654996,-0.46203546,2.219203484,5
7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,2.028148247,-0.105360516,-2.813410717,0.916290732,-2.538307427,1.609437912,2.302585093,-0.003305457,1.220829921,-0.579818495,2.282382386,5
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,2.091864062,-0.606969484,-1.714798428,0.641853886,-2.525728644,2.564949357,3.555348061,-0.002803927,1.193922468,-0.527632742,2.197224577,6
8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,2.116255515,-0.494296322,-1.203972804,0.741937345,-2.47693848,2.397895273,3.912023005,-0.002803927,1.223775432,-0.494296322,2.32238772,6
7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,2.054123734,-0.693147181,-1.203972804,0.641853886,-2.590267165,2.079441542,3.091042453,-0.004108428,1.196948189,-0.579818495,2.341805806,6
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,2.091864062,-0.606969484,-1.714798428,0.641853886,-2.525728644,2.564949357,3.555348061,-0.002803927,1.193922468,-0.527632742,2.197224577,6
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,2.091864062,-0.553385238,-1.514127733,0.741937345,-2.563949857,2.48490665,4.17438727,-0.003305457,1.190887565,-0.673344553,2.219203484,5
7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,1.974081026,-0.713349888,-1.427116356,0.78845736,-2.659260037,1.609437912,3.583518938,-0.004008021,1.202972304,-0.733969175,2.240709689,5
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,2.091864062,-0.553385238,-1.514127733,0.741937345,-2.563949857,2.48490665,4.17438727,-0.003305457,1.190887565,-0.673344553,2.219203484,5
7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,2.054123734,-0.891598119,-0.385662481,0.530628251,-0.761426021,2.890371758,4.234106505,-0.002703652,1.124929597,0.270027137,2.2300144,5
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,1.824549292,-0.46203546,-1.171182982,0.530628251,-2.430418465,2.708050201,4.158883083,-0.003104815,1.241268589,-0.235722334,2.2300144,5
8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,2.079441542,-1.108662625,-0.634878272,0.916290732,-2.396895772,2.890371758,4.382026635,-0.002402885,1.214912744,-0.223143551,2.261763098,6
8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,2.091864062,-0.242071561,-0.653926467,0.693147181,-2.103734234,3.610917913,5.030437921,-0.003104815,1.166270937,-0.371063681,2.2300144,5
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,2.054123734,-0.579818495,-1.660731207,0.587786665,-2.26336438,2.48490665,3.850147602,-0.003606496,1.160020917,-0.072570693,2.251291799,5
8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,2.128231706,-0.478035801,-2.407945609,0.78845736,-2.47693848,2.397895273,4.682131227,-0.003606496,1.147402453,-0.415515444,2.282382386,5
8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,2.128231706,-0.510825624,-2.302585093,0.78845736,-2.465104022,2.63905733,4.709530201,-0.003606496,1.147402453,-0.415515444,2.282382386,5
10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,2.312535424,-1.171182982,-0.820980552,0.832909123,-2.525728644,3.091042453,3.828641396,-0.001200721,1.199964783,-0.400477567,2.272125886,6
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,2.054123734,-0.579818495,-1.660731207,0.587786665,-2.26336438,2.48490665,3.850147602,-0.003606496,1.160020917,-0.072570693,2.251291799,5
9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,2.240709689,-0.916290732,-1.171182982,0.78845736,-2.407945609,2.564949357,4.127134385,-0.003405793,1.121677562,-0.46203546,2.351375257,6
8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,2.116255515,-0.616186139,-1.272965676,0.641853886,-2.563949857,2.397895273,3.688879454,-0.002202424,1.220829921,-0.494296322,2.302585093,6
7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,2.054123734,-0.579818495,-2.120263536,0.693147181,-2.501036032,1.945910149,3.33220451,-0.003004509,1.214912744,-0.693147181,2.240709689,6
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,2.174751721,-0.597837001,-3.218875825,0.78845736,-2.128631786,2.63905733,4.025351691,-0.003807238,1.166270937,-0.510825624,2.388762789,6
7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,1.945910149,-0.371063681,-2.525728644,0.587786665,-2.3330443,3.091042453,4.48863637,-0.004108428,1.205970807,-0.616186139,2.219203484,6
