f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,label
-0.9651904,6.603054,0.81745684,-1.4471183,-10.27001,-4.974806,3.8422616,-0.6576021,1.0622196,-2.5293968,2.4488993,0
-6.417947,-0.21950419,-2.8146257,3.476678,0.41642106,0.2736849,-0.5267771,-0.058603995,-2.6107278,-1.6638442,-2.0036433,1
19.03161,9.667672,3.5743704,-2.3245807,-3.5287015,17.90017,12.119983,4.8003316,-3.1954,-28.43643,-13.811445,1
-2.5227165,0.4253683,-0.6914228,-2.7672443,-5.9021,-2.6707125,-4.749243,1.1930312,0.028024934,-3.7569826,4.3257775,0
-1.7766526,-6.541704,3.13051,4.820051,5.097052,4.153534,-2.4570038,-0.430347,2.1413405,-0.8717821,2.9612842,1
8.154681,-3.6064823,-4.0762467,-2.3819182,2.2723234,-2.5095575,-2.7702358,3.107928,2.9878905,-3.8860185,-1.3878951,1
-7.6374307,-0.09284333,-5.913444,0.5816856,-1.5692881,-0.052593186,-2.403776,2.8666043,-0.26997223,-2.9106705,-0.9177331,1
-5.310102,-3.724704,-4.9727225,-1.0057231,-2.6048098,2.0609376,-4.9153886,0.6320489,-1.6372696,-1.7287608,-1.4151758,1
4.3852754,-6.0796485,0.3808926,-2.0381737,4.5427446,-3.8521144,3.355806,-2.7080312,4.952425,-3.092126,-1.509114,0
-6.0537543,2.7253492,-4.877389,-1.9847211,-2.111405,-4.05883,3.3985589,-2.896761,1.7211177,1.3590595,-3.4322152,0
-5.894491,8.516361,-0.35759374,1.8262464,11.136159,4.1801815,3.2882724,0.32609418,2.3762722,1.9490246,-6.5376186,1
3.3496745,12.267938,0.7969677,-3.937104,-5.377258,0.33137676,3.7427697,-6.6528864,3.197581,4.000453,1.0670427,0
3.8236513,-7.2869143,3.777215,-2.95971,1.1394224,-0.9416448,-3.0785346,0.9889911,1.0848799,0.85708964,2.3414469,1
-5.332805,-1.9845002,-1.149946,4.683112,-0.77617353,-0.10673725,0.65793544,0.845985,1.2825376,0.77180177,0.5185624,1
-4.4868965,-0.38890916,-4.378789,-1.3833896,-3.8299391,-1.5363425,-3.174631,3.0791779,-2.8309743,-1.6014168,1.0709317,1
-8.895411,3.093105,-2.4603863,4.611856,3.684138,1.7909693,2.5934525,3.7709763,2.4175434,-3.6023443,1.6318753,1
-4.8276315,-4.019804,-0.043650426,4.1383963,1.0178263,3.50029,1.3293302,-2.8778832,1.113234,-0.29755104,-1.6034092,0
-8.537083,-1.9515954,-1.7863373,5.0667777,2.0946686,4.6552544,2.116674,1.9107301,1.3645853,-3.5907989,1.68044,1
-5.931627,-0.48234436,-1.6644664,4.450669,1.9153696,-1.333654,0.31727898,1.4416014,5.455555,-3.2708693,1.7012949,1
16.152868,1.9589479,-6.15569,2.9005601,-0.78277296,-6.76152,4.222741,-2.9245725,-3.5204713,-1.0590365,-1.1101762,0
-3.1951895,8.365098,3.1296167,-2.7197375,0.6078194,-4.6853538,-4.0966516,5.448996,-1.5982491,3.2501414,1.548656,0
7.305532,0.09726697,10.132328,-2.6295657,1.5212444,-0.046235662,-6.876036,2.8762786,-1.6409379,0.40465105,1.7348703,0
-2.6622088,6.099565,1.9488183,-0.3711871,-2.3835456,-1.6636392,-0.7158466,4.5060163,-1.7891934,0.2749243,1.723178,0
-7.92642,7.5905967,-5.069261,-7.1255293,3.9827247,-0.27499926,-0.33516675,-0.18569101,1.0623897,1.09703,2.0154686,1
-3.240427,-2.4470298,-2.133158,-0.53679097,-2.555887,6.351777,3.3381114,-2.7352495,-5.827581,3.3310068,-6.7039905,0
-4.230881,11.126837,-0.9150485,-9.927027,0.76981527,-2.26035,-1.4626158,-0.042213243,-3.454442,3.8960156,2.6228151,0
7.994616,-5.64038,-5.8690567,-4.108555,2.0903862,-3.8839545,-0.7177636,4.167074,-0.42665112,-0.63003343,-3.4966369,1
5.885778,-3.2771535,0.78754646,-3.2171478,1.3752099,-6.966906,0.6398667,0.94180137,2.7626696,-0.78099585,0.02430989,0
-5.7637334,3.669153,-0.3134294,3.6475694,4.312909,-1.9562632,0.82680786,0.70088863,7.3594275,-2.1132061,0.055610254,0
-7.4356694,2.48788,-0.7364564,6.2625856,3.8855708,-1.1176655,2.1748807,2.479066,1.4047734,-0.32151592,-0.2400745,1
-1.7396855,-5.0018806,1.6867881,-1.0026435,-4.4413257,-0.185008,-1.8158432,0.25252366,-1.0902414,1.9785652,3.4593878,0
-1.2020241,7.5754657,5.998858,8.25289,5.998039,0.024685476,4.344979,2.58439,4.164373,0.93801296,1.4065324,1
-4.192746,0.5653339,2.5015416,4.3585997,-2.4558668,-3.9773836,-1.1905127,-4.4284477,0.029333448,-1.2497206,2.115631,0
14.208234,-2.0433617,4.79763,-1.5029701,3.1415324,-0.015699355,1.9852436,4.694473,-0.6907019,0.85367084,-2.0386086,1
2.957522,-3.3827436,1.3426507,-0.70787364,-0.9487397,-0.30332428,3.9715335,-1.1402841,-1.2219374,4.1898146,-5.328091,0
-7.6415744,2.8539023,-0.23659045,5.0194254,5.9513993,0.7267455,2.4267194,2.327278,3.7128534,-2.3770945,1.1375345,1
-0.054096118,5.7283444,-0.6889109,-1.7100219,-8.109761,-3.873462,2.7124827,-3.718464,1.7688684,1.9198213,-6.064954,0
-6.9552574,-0.9978638,-7.078136,-0.49240583,-2.5672429,1.6321704,-2.611162,3.6438959,-2.401535,-2.5938487,-2.3870335,1
5.193159,9.258369,1.3471671,-1.7771927,-2.5631597,-2.8077648,1.8372555,-8.566265,7.3709435,4.583268,-3.7084904,0
5.1435957,-5.4874663,-0.800983,-3.6857169,2.1925116,-2.529038,1.1687912,4.991863,0.010959807,-0.042312562,-2.1621659,1
-7.7620797,-4.21308,-1.6679169,4.3670382,0.8094693,6.0660014,-0.29542062,0.76219994,-1.8276958,-2.0343294,0.98648554,1
16.713934,-3.2205,-13.06574,0.728664,3.5219855,-1.5926821,0.4459202,4.7716446,-0.25133514,1.2242175,0.33908617,1
-0.14636168,-7.7986207,3.5889587,-1.3530416,-1.2989559,1.6655537,-0.53301656,0.024513641,-1.6342006,3.038177,2.1617148,1
2.2043805,-5.6056194,3.7896168,-3.9933617,-1.920927,1.0231777,5.2958937,3.7570906,-1.9965231,4.5696235,0.6487454,1
3.552264,-8.361506,-3.184371,-4.334175,3.8186076,0.05067717,3.224169,0.4936984,1.8123704,-0.3799021,-5.6840453,0
7.551743,-7.2422233,2.5190423,-4.929902,1.3199781,-0.03953756,5.4373136,4.817313,2.5377514,2.7096586,-0.53369945,1
-1.6340687,11.532581,4.7922726,0.067328915,2.0901346,-4.626968,-3.5022354,3.116985,-3.4813395,3.0538666,-1.7266631,0
3.9799316,-0.33031237,4.960222,-1.6413,-7.344527,1.7501103,2.2057686,1.1076158,-2.113053,0.8526699,0.69655323,0
0.930094,-2.3536103,1.7206904,-0.5464631,-9.409922,5.0969915,3.4656734,-2.0014663,-0.1947993,1.5744817,1.6663642,0
0.50786704,2.2515607,4.0289645,7.132133,-3.0856886,-4.022118,2.212384,-6.3390594,3.5599148,-1.217301,-0.9625506,0
-4.9823017,-5.0006256,-2.6384673,0.64893556,-2.084143,1.9476908,-4.187565,-1.1473595,0.86926144,-2.6120017,1.1145226,1
-0.36074194,0.83466035,4.5545015,0.7299357,-4.2166495,-1.2623606,-0.9264606,-0.23653853,-3.0909138,-0.33987468,4.565525,0
2.1396239,-4.603048,0.5057058,-3.7302465,-4.766007,-4.0487003,-2.2138295,-0.078821875,-0.38060847,1.0030851,1.3408685,0
-0.6159952,-0.7930355,2.8280308,1.5664431,-3.6042316,-4.2048364,-2.72576,-1.5034716,2.5977004,-1.9516796,3.6311548,0
-7.2110677,-2.7039905,-0.97396624,2.2626922,0.98946804,3.305922,5.1242394,-1.5018167,-1.211112,2.534878,-0.8649777,1
-1.2244613,-7.0738654,5.0081806,0.88226914,1.1179574,1.4036118,2.9683099,-1.006512,-2.8541226,6.3659678,2.6027544,1
-2.1895278,-6.336305,0.31533402,2.2888448,-0.7804309,1.5260406,-3.4233854,-0.42272824,-0.71335655,1.4075375,1.8651329,1
-6.57384,-0.5757747,0.835821,4.9912696,-1.867429,2.2676039,4.8070498,1.3592663,-4.1391354,3.5655916,-0.3319036,1
9.563408,-5.370542,3.6297214,-5.6044474,3.7946396,-0.39330423,1.7697358,3.7624202,2.759215,-0.34653884,-1.4300299,1
6.373177,-0.40482214,1.9891552,-2.3472528,-6.5858865,-3.5940115,-1.1694195,-2.9790337,5.1212993,-2.356882,-7.357517,0
-0.66175663,13.171243,9.301047,-2.523738,5.0058393,-1.917181,-6.783816,4.8756127,-2.4060755,5.8710504,-0.65491647,0
-3.4220312,-4.6413054,-2.330511,-2.3471544,-4.064757,1.4072698,-4.7551703,0.6103152,-2.4809806,-0.060760245,-0.1195487,0
4.2544026,3.7366166,2.7364523,3.910446,-8.263715,-2.521803,1.4877468,-3.6716573,8.811417,2.597343,-1.5271477,0
-3.5730622,-0.18565857,-6.0052238,-4.892902,-3.7259796,-1.4892191,-2.718417,1.1737188,-1.5778574,-0.8658211,-2.8839443,0
-4.0375986,-5.369134,4.1596136,4.4394827,1.0878906,2.4667463,2.0061696,-1.7344769,-0.5844955,3.0062501,3.2690136,1
-2.9079475,-2.7008374,0.82540387,5.9781113,5.3619366,4.3251305,-2.5439377,1.4953002,1.7269703,-2.1540608,1.3895311,1
-2.3313117,13.552872,2.7596567,-6.169081,11.932516,9.450624,-6.1306825,-0.81461555,-1.504591,4.0248837,-5.694038,0
0.79615957,-9.0168295,4.4857783,0.20798711,0.97229606,1.7269362,0.3415699,-1.3440225,0.4334855,4.5838833,1.7471117,1
-1.6680292,0.10083463,3.5281794,4.8900933,-1.2186847,-5.300152,-1.7824928,-4.088266,3.9315083,-2.4735596,2.5544608,0
-2.6208684,-2.8324177,-0.20066564,1.6626856,-4.295353,2.9360683,3.6411011,-3.375739,-5.5139694,4.0984187,-3.2695608,0
-9.258356,4.339825,-4.864964,2.4962735,4.755727,-0.060468033,2.482558,2.3363883,1.5856484,-2.3104842,-2.19339,1
-6.8421764,-2.3208702,-4.925696,1.6899694,-2.969808,0.5409872,-3.530083,0.31982383,-1.4247668,-2.2625098,-1.1216911,0
4.281584,1.9725229,-0.34373853,-3.388865,-9.284626,12.15522,8.491848,2.1175017,3.9938183,5.02167,4.130737,0
-8.844247,3.5674553,-4.0574703,2.2932768,3.8940465,1.6115994,3.058378,4.5786366,1.8381089,-2.6508374,0.6132997,1
0.17727838,-7.635746,-0.01940095,-4.3824453,2.2511156,-0.10742258,-1.3519584,-0.80642325,1.1938087,-0.35974178,-2.92439,1
2.580357,-7.758485,-3.9719589,-3.3591914,2.3152254,-2.3650079,-1.6246632,-3.408863,0.6656301,-0.420504,-3.1510568,0
-8.98434,2.0179522,-6.6360197,2.1881423,1.8407478,-0.8144187,2.1230752,3.2868867,0.64125216,-1.9634029,-2.3081193,1
-2.4684982,7.071552,-0.5365442,-3.415226,7.458943,2.1073859,-3.7118676,2.598339,3.4138134,-0.92722833,-0.21884355,1
-5.499247,-1.6608473,-2.0582657,0.9336207,-3.9198403,-0.22151388,-2.675377,1.199039,-1.0607653,-2.6951373,2.4770193,0
-7.8052945,9.416457,-5.844846,-8.600486,4.1616416,-0.697198,2.2436805,0.21297356,2.020799,1.2637937,3.1608636,1
2.9849627,-6.4797354,-2.5871599,-4.381072,0.967185,0.14229615,3.8072522,4.128479,-0.08172534,0.016339092,-2.8202696,1
-5.793182,0.10503351,-8.173527,-2.9053342,-2.9300997,-0.8428481,-3.1779227,2.331484,-0.44550776,-4.1695704,-2.7871025,1
4.657459,-0.51216733,6.343332,-0.20133856,0.5045285,2.8481743,-4.0563583,3.0721903,-4.9210806,3.022192,0.2842675,1
1.4702204,-6.2493834,3.5900002,-2.340497,1.435516,-0.8010736,4.146028,1.6890146,-0.53200114,3.5863202,1.8581353,1
-1.3719717,9.77122,1.7452304,-0.41492522,0.102453545,-1.9018775,-2.1136942,1.1963453,-4.9492807,-0.6387089,-6.680744,0
-9.605999,0.32175234,-6.838653,2.0078175,-0.5838348,2.0164776,2.0805042,3.34923,0.90660596,-3.5459092,-0.8379697,1
21.725504,2.634136,-14.255316,9.713176,6.208072,-0.47814733,4.6871924,-4.411096,-5.823416,0.051972825,1.7106072,0
2.7696261,4.1022487,3.8002353,-0.025486203,-9.859014,7.110556,8.926076,-2.2100744,3.4481473,-1.7064512,4.931588,0
-6.7103605,-5.5528765,-3.2075717,2.0882978,-1.3398981,4.590993,-3.4856822,0.21936984,-0.9659613,-1.6069536,0.993099,1
-3.4321303,6.7458777,0.51017654,0.6182993,-2.6367419,-3.7618337,-0.9001612,1.2943082,-2.917792,-0.89506257,-0.76971483,0
7.5952005,-1.1616472,5.359035,1.0882502,5.506572,3.359199,8.992688,0.16283205,-1.7485698,3.7493021,-2.387168,1
-7.4085593,5.556111,-3.0245965,-2.3336978,2.9555666,0.3797623,3.2524555,3.5377202,2.4194765,-0.4946041,1.418336,0
-4.8472714,-3.5538952,1.1745944,3.0349994,-3.5611248,2.1217587,1.5029813,2.4528253,-1.8853393,1.8868898,4.5907207,1
1.3080916,-1.3357552,-0.64400053,6.384804,2.2658107,-1.2756835,-1.8906423,-7.0064034,3.4244273,-2.3089178,-1.9722592,0
-3.7580922,5.9612503,4.059141,4.2638116,0.62968946,-1.0528821,1.749179,6.595087,-0.20442519,0.7281706,3.018912,1
1.4495591,8.544484,6.5194664,-4.054998,-3.906395,3.462126,-6.014934,3.129508,-4.9077086,-4.3343363,0.040317547,0
21.983479,2.5064528,-9.82239,5.0989056,0.91491205,-2.4627821,7.0231915,-2.76888,1.8444716,0.522207,-0.8438668,0
2.8919616,-3.4129317,5.0934253,4.969849,-2.427042,1.5998667,0.737849,-5.3355107,1.2474054,3.297936,-2.2691448,0
-4.6237493,4.10221,-2.216381,0.6708566,-3.7825563,-1.1552972,4.9667797,2.6764789,-0.54601413,1.0047365,-1.414695,0
-1.5448523,-8.53121,-1.7623806,-4.798864,0.12938613,1.3101023,-2.9496694,0.5851917,0.62084854,-1.3231595,0.07650833,1
-4.6210275,-4.235372,-2.3477151,-0.45618606,-3.8028412,0.6540376,-0.20151664,-2.2773294,-4.6862073,3.3637595,-1.1870316,0
-3.9048302,4.336398,3.4380598,5.2780895,1.4277747,-0.30869877,3.0893762,1.1746315,-2.252199,1.5423404,-1.7911243,1
4.5879393,10.265726,4.151126,2.0499616,4.608072,-7.6529903,-5.172176,0.08972106,1.5814513,1.7756221,-0.5193661,0
-7.1743717,2.3824458,-3.8221622,3.0697148,0.880014,-0.73259157,1.0349628,0.23777261,1.5639254,-1.7055975,-2.8046665,0
1.4621776,-7.358306,-3.4813082,-5.2234664,1.2454699,-0.69206065,-3.537828,0.15312046,1.3236637,-0.24744773,-5.123363,1
-7.464428,3.615835,-5.215065,4.7909503,1.5737989,3.2524798,0.5395895,4.09314,7.9105153,0.22606939,3.6359494,1
-3.3614228,-1.4655994,-2.4705076,0.7822491,-6.941908,-2.4607394,-0.86835814,-1.2827168,-2.060617,-0.604109,0.10915457,0
-2.1491153,4.50845,-1.9328957,-2.8146098,-5.560655,-6.007997,-1.7935872,-0.812336,-0.32328218,-2.087754,-0.522845,0
-7.1678925,0.62652355,-0.52368975,5.787456,-1.2327085,0.39796832,5.980902,-1.8575462,-2.263918,2.3394697,-0.92199403,1
-2.1884263,3.7503808,1.7620864,1.3862543,-7.7782383,-1.0179169,8.449198,-1.5691941,-0.54758835,1.0895414,-0.26727182,0
3.4584403,-1.6952759,1.8263884,5.5871263,0.29843438,-2.8973498,-3.818949,-4.975319,2.5069633,-0.45833337,-0.48269597,0
3.8565378,-0.25837362,1.3656499,-6.8182592,-4.8335485,1.9442756,2.8124933,2.2637033,-1.6088645,-5.459864,1.8431913,0
-8.90245,0.97786164,-6.5577693,3.0481393,0.12985624,0.36474258,1.9181689,0.031372957,-0.9169032,-1.589376,-3.428373,1
13.140015,7.428628,-2.2319188,0.35859329,-2.0317037,7.89483,-1.0244923,6.2196193,-1.7369765,-6.1774483,-2.484751,1
-2.4385576,-4.4062924,0.65070033,-1.8587248,-3.804682,-0.09997625,-1.3132911,1.3878103,-2.7508674,2.5471032,3.889931,1
-7.1241055,5.4244933,-2.7687685,0.9142417,1.4778783,-3.8003848,-2.3613734,1.636325,1.4731715,-3.0056643,0.085209355,0
4.963122,-4.0327873,-1.3512051,-5.2710485,-4.041797,0.48947582,1.6366485,3.5334384,-1.5512251,-0.6676921,-1.6893324,0
1.6435143,-4.2548018,4.0955634,-3.6042457,-0.9509072,-0.5078592,5.770572,4.323931,-0.08019574,2.8957932,3.7667024,1
8.605359,-6.394003,4.326211,-4.8009696,1.5137159,-2.6169264,3.8095293,3.3665974,2.8234549,-0.03870645,0.5541708,1
-9.333428,-1.5191721,-3.831893,4.9361606,0.59099305,3.4455793,1.6377801,-0.2494684,-0.47586048,-2.6469114,0.8703709,1
-5.945963,3.6989548,-5.3121834,-2.233241,-1.885196,-4.575138,-1.0695368,-0.09718153,0.39846233,-2.0824814,-1.2746521,0
-3.1725159,6.7498374,6.477282,6.040866,-0.7561588,1.8465576,7.4383683,4.5596895,-0.9631592,1.5572047,4.103323,1
17.798353,5.188301,-3.3103538,1.8480779,3.1625803,-7.1639686,-1.6924689,1.6594156,-4.3928175,0.1722041,-1.0109514,0
-6.0935154,3.6248968,0.33482966,4.5531435,4.214273,-2.1366584,-0.7957034,4.7379365,2.61265,-0.8686291,0.5266561,1
-1.4782887,-9.149331,0.5968382,-1.5265679,3.4214287,3.6278718,-0.39680335,-1.9922861,-0.59416837,1.8124925,-0.121428095,1
-3.182317,6.0503073,1.1392381,5.032229,-2.6474674,-3.0209198,2.809164,-1.7441151,3.1306534,-0.7268677,-2.337298,0
-7.532074,-2.0015037,-1.281814,5.676583,0.04626144,1.5081007,2.679183,-1.0827943,-1.3647457,1.2098956,-0.55481243,1
-4.006853,-3.2188525,3.3063922,5.900623,0.90772766,0.8478437,-0.57325804,0.675389,-0.14557414,1.2177292,3.9566844,1
1.653194,-4.5560164,0.95763654,-5.7488737,-4.5727906,-1.7979163,1.268972,2.1661863,-0.90359545,-0.29019663,1.3332412,0
8.807834,7.1075497,6.42966,9.283978,2.1636376,-2.3583727,-3.1219306,-2.756261,-0.30611435,-1.2375895,-1.2473961,0
-7.2112527,7.155602,-4.0783005,-6.26056,2.591953,-1.6818414,2.2113297,-3.2666001,7.1243644,-1.710645,2.5571418,0
-6.3264313,-4.827919,-3.0935302,2.3519611,-0.39398578,4.174866,-2.025926,0.17298423,-2.3292563,-1.8237885,0.11674782,1
2.2449372,-3.1085937,2.7502809,-0.73064756,0.31910315,-3.2692342,-7.042143,-1.7354712,0.09842774,-1.3401165,1.7267656,0
-6.8248873,5.148477,-4.278565,-3.4211147,5.227599,-1.7764564,0.6277486,1.4029899,2.352342,2.5729253,0.16030748,1
-1.037415,-6.123098,1.2962444,4.849084,3.3803103,4.0388503,-0.36445037,-1.2089806,-0.27332225,0.82876694,-0.59804696,1
-5.1593275,6.668021,-1.8361197,0.14736918,-2.486972,-5.347778,3.4029565,-0.26862547,-0.07411724,0.24851185,-0.72126186,0
-0.28712288,-0.113559276,-3.4129739,0.48370695,-9.655093,2.8196685,3.4094734,-4.460811,-2.6511464,3.9980292,-7.7942033,0
-2.4244971,-4.2751307,-1.7707479,1.8612434,-1.3332534,-0.9687353,-3.4770515,-3.9034963,1.9870281,-2.1520808,-0.24730861,0
0.78714657,2.1905606,3.116679,3.6833773,-11.003426,2.6645648,8.509262,-6.541201,0.74975127,0.47817653,-3.4618418,0
-5.310168,0.3578099,-4.750355,-0.52713996,-3.5465562,-3.122932,-2.0713933,0.12309709,1.0763835,-2.7487266,-1.5682391,0
-7.0657315,4.046767,-2.5901163,3.7164054,3.409709,-2.2814097,3.2285626,0.6131111,3.7473147,-1.0179614,-1.1802015,1
6.683887,8.61618,0.51298016,-6.395417,-11.814019,7.616388,7.97552,-9.036649,8.00072,5.981052,-5.404711,0
3.213869,14.191774,4.61822,2.0452259,7.532865,0.11281536,3.529257,0.98149157,-3.3889136,3.9092836,-3.6780295,0
-2.2710054,-7.0809813,2.0124066,-0.36918235,-1.5910048,1.2610549,-1.6626279,-0.4281237,-2.1288323,4.40323,1.583368,1
1.1537362,-6.152309,2.0688348,-3.0374472,-0.37129182,-1.5927289,-3.5308454,1.694533,-0.5180751,1.4935957,3.1644173,1
1.3792615,-7.344769,-0.8994091,-4.789902,2.3557172,-1.4415126,-2.510776,1.7508559,1.3613371,-1.0335672,-0.80563366,1
-9.277206,2.835063,-7.617852,0.3468447,2.4459045,0.74644464,3.5157938,0.34717587,1.2597389,-1.9459535,-3.3391778,1
-1.1812726,-4.7737136,5.965139,3.7755606,5.762695,5.9514318,1.2899035,-1.5362098,-0.42866278,4.348431,0.20898412,1
14.155786,-4.945971,-5.796256,-2.4783022,4.599009,-4.4138083,3.1017659,4.6256332,2.5293794,1.2115031,-2.8207164,1
4.8444753,-1.046568,8.011717,0.6800471,2.0718794,-2.7232034,-4.9030395,-3.6749053,1.3501601,0.36524135,-0.74017465,0
0.7646186,-9.906118,-0.96396416,-4.744644,4.483125,0.7142199,2.1676352,0.9940768,1.0216041,1.131574,-4.7326694,1
-6.402073,6.9073477,-1.937962,-0.96220136,-0.10129246,-4.8636465,0.13193695,2.5542614,-0.2783024,-0.21143974,1.061823,0
-1.0761813,-3.4583201,0.6075627,-3.0464818,-6.324374,0.58178777,4.5134287,-1.3397262,-5.5083013,3.859479,0.010204093,0
1.8146439,-7.636931,-3.7716784,-5.4820023,2.1552103,-1.2477049,-1.95912,-2.1876733,3.0635185,-2.6604369,-5.395163,0
12.904216,3.6328924,9.306731,0.20927382,-5.7747917,3.361752,9.912685,0.20033634,2.7154622,-2.7825599,-4.362379,0
1.0709007,12.253582,1.087287,-6.3829093,0.31280845,0.21104279,-2.2153287,-4.107287,-4.162124,1.3027092,-3.597256,0
12.67909,10.650598,-0.6842772,-5.4653788,-5.7155986,3.384364,1.9489115,-5.3724365,3.623487,-7.2576675,4.531483,0
26.911007,12.380946,-13.671803,10.849954,2.3933127,1.8800848,-6.4417753,-0.7911224,0.4997995,4.4472404,-1.175534,0
-1.4811499,0.60765606,4.7873335,3.5263429,-2.5704517,0.386082,-0.39342308,0.69949454,-2.589994,-0.20979008,3.197941,0
-5.566769,-0.040588845,-0.34648296,2.4425547,-4.9348226,0.5676903,3.431472,1.6237513,-2.7225132,1.2375969,3.626351,1
-5.8813705,7.87091,-1.8883613,-1.9601479,8.717898,-1.1596962,0.052478526,4.1781926,5.009884,0.5975194,0.4979804,1
9.864275,-3.3222067,-7.0489426,-0.3129976,0.89808697,-7.315908,0.8795917,-2.56548,0.3490557,-0.18274789,-0.060226448,0
-7.066219,12.337457,0.5174695,-2.8965137,11.831554,2.9925318,1.5341433,1.2821375,4.7305846,1.8150147,0.63702875,1
-4.0710616,-9.589156,-2.30232,-3.540094,3.0607634,7.0854087,4.144539,-1.0246629,-3.109646,1.5073279,-4.1536164,1
16.995277,6.683644,-11.296405,4.8904734,-4.3312917,-3.3297684,-6.2506666,1.9224775,-0.059048768,1.7632133,5.909503,0
-4.537668,-4.375605,1.665083,3.2286491,-1.051803,0.54602265,0.7276294,-4.691111,-1.7042722,1.0964854,2.1454077,0
5.279565,-2.611931,7.431432,-3.698426,-0.10777138,4.116451,1.6090578,3.776076,0.14036486,-0.9282272,5.105796,1
-7.1858516,5.0902295,-2.6976361,-0.4796444,2.3909495,-2.5584855,-1.4050789,3.0711591,1.6530637,-1.7733247,0.9389313,1
-3.9863856,-5.9679856,0.3092109,3.310807,3.9056947,5.6917605,-1.82095,-0.110543735,0.2879869,-1.3919337,2.1706734,1
-7.3914785,0.6842419,-2.0476437,4.9476566,0.7346272,-0.6170013,1.7828866,-2.1577418,1.1431437,-0.9781098,-0.67668283,1
-5.7564783,2.4498277,1.4386421,5.932894,1.1064472,-1.7956172,1.1297715,1.8640398,0.32460076,-0.26418954,2.300054,1
-3.0262897,5.7052336,3.8227851,3.191299,-6.3215847,-5.489944,4.828306,-0.6281663,1.2576804,-0.46908176,2.9285321,0
-7.4490743,-6.3973174,-1.3937837,4.2526345,2.35822,7.154601,1.8100384,-0.86322784,-0.115733884,-1.5446113,0.506783,1
-7.9364204,2.620554,-3.1287785,2.9062593,-0.3873429,-2.709676,0.41222534,-1.2823292,4.094631,-4.634245,0.5571625,0
-4.5458093,4.809207,0.22736156,-0.24125858,-2.04528,-3.0917423,-4.391255,4.0074644,-4.1953464,0.020146387,0.13540013,0
20.573,1.536958,-6.6088223,2.8509529,-2.2775974,-3.5311918,4.779395,0.6075921,4.891916,2.2421587,1.8037395,0
