MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
3.075,52,5.322649573,1.012820513,1098,2.346153846,37.85,-122.26,1.123304901,3.951243719,1.671971219,0.012739026,7.001245622,0.852777326,3.63363098,4.806149925,2.135
2.6736,52,4,1.097701149,345,1.982758621,37.84,-122.26,0.983425879,3.951243719,1.386294361,0.093218129,5.843544417,0.684489118,3.633366744,4.806149925,1.913
1.9167,52,4.262903226,1.009677419,1212,1.95483871,37.85,-122.26,0.650604957,3.951243719,1.449950437,0.009630893,7.100027167,0.670307689,3.63363098,4.806149925,1.592
2.125,50,4.242424242,1.071969697,697,2.640151515,37.85,-122.26,0.753771802,3.912023005,1.445134861,0.069497794,6.546785411,0.970836308,3.63363098,4.806149925,1.4
2.775,52,5.939577039,1.048338369,793,2.395770393,37.85,-122.27,1.020650747,3.951243719,1.781637925,0.047206405,6.675823222,0.873704846,3.63363098,4.806231714,1.525
2.1202,52,4.052805281,0.9669967,648,2.138613861,37.85,-122.27,0.751510424,3.951243719,1.399409303,-0.033560196,6.473890696,0.760157891,3.63363098,4.806231714,1.555
1.9911,50,5.343675418,1.085918854,990,2.362768496,37.84,-122.26,0.68868725,3.912023005,1.675913697,0.082426499,6.897704943,0.859834023,3.633366744,4.806149925,1.587
2.6033,52,5.465454545,1.083636364,690,2.509090909,37.84,-122.27,0.956779871,3.951243719,1.698447292,0.080322389,6.536691598,0.9199205,3.633366744,4.806231714,1.629
1.3578,40,4.524096386,1.108433735,409,2.463855422,37.85,-122.27,0.305865743,3.688879454,1.509417863,0.102947969,6.013715156,0.901727368,3.63363098,4.806231714,1.475
1.7135,42,4.478142077,1.00273224,929,2.538251366,37.85,-122.27,0.538538062,3.737669618,1.499208245,0.002728515,6.834108739,0.931475405,3.63363098,4.806231714,1.598
1.725,52,5.09623431,1.131799163,1015,2.123430962,37.84,-122.27,0.54522705,3.951243719,1.628501896,0.123808546,6.922643891,0.753033159,3.633366744,4.806231714,1.139
2.1806,52,5.193846154,1.036923077,853,2.624615385,37.84,-122.27,0.779600068,3.951243719,1.647474493,0.036257748,6.748759547,0.964934365,3.633366744,4.806231714,0.997
2.6,52,5.27014218,1.035545024,1006,2.383886256,37.84,-122.27,0.955511445,3.951243719,1.662057341,0.034927881,6.913737351,0.868732037,3.633366744,4.806231714,1.326
2.4038,41,4.495798319,1.033613445,317,2.663865546,37.85,-122.28,0.877050819,3.713572067,1.503143254,0.033060862,5.758901774,0.979778281,3.63363098,4.806313497,1.075
2.4597,49,4.728033473,1.020920502,607,2.539748954,37.85,-122.28,0.900039391,3.891820298,1.55350936,0.020704673,6.408528791,0.932065239,3.63363098,4.806313497,0.938
1.808,52,4.780856423,1.060453401,1102,2.77581864,37.85,-122.28,0.592221262,3.951243719,1.564619698,0.058696553,7.00488199,1.020945709,3.63363098,4.806313497,1.055
1.6424,50,4.401691332,1.040169133,1131,2.391120507,37.84,-122.28,0.496158587,3.912023005,1.481988861,0.039383328,7.030857476,0.871762088,3.633366744,4.806313497,1.089
1.6875,52,4.703225806,1.032258065,395,2.548387097,37.84,-122.28,0.523248144,3.951243719,1.548248615,0.031748698,5.978885765,0.935460648,3.633366744,4.806313497,1.32
1.9274,49,5.068783069,1.182539683,863,2.283068783,37.84,-122.28,0.656171944,3.891820298,1.623100763,0.167664399,6.760414691,0.825520495,3.633366744,4.806313497,1.223
1.9615,52,4.882086168,1.090702948,1168,2.648526077,37.84,-122.28,0.673709487,3.951243719,1.585572622,0.086822395,7.063048163,0.974003288,3.633366744,4.806313497,1.152
1.7969,48,5.737313433,1.220895522,1026,3.062686567,37.84,-122.27,0.586062958,3.871201011,1.746991058,0.199584624,6.933423026,1.119292494,3.633366744,4.806231714,1.104
1.375,49,5.030395137,1.112462006,754,2.291793313,37.83,-122.27,0.318453731,3.891820298,1.615498537,0.106575583,6.625392368,0.829334617,3.633102439,4.806231714,1.049
2.7303,51,4.972014925,1.070895522,1258,2.347014925,37.83,-122.27,1.004411493,3.931825633,1.603825176,0.068495235,7.137278437,0.853144276,3.633102439,4.806231714,1.097
1.4861,49,4.602272727,1.068181818,570,2.159090909,37.83,-122.27,0.396155239,3.891820298,1.526550253,0.065957968,6.345636361,0.769687258,3.633102439,4.806231714,0.972
1.0972,48,4.807486631,1.155080214,987,2.639037433,37.83,-122.27,0.09276148,3.871201011,1.570174418,0.144169791,6.894670039,0.970414242,3.633102439,4.806231714,1.045
1.4103,52,3.749379653,0.967741935,901,2.23573201,37.83,-122.28,0.343802448,3.951243719,1.3215904,-0.032789823,6.803505258,0.804568696,3.633102439,4.806313497,1.039
3.48,52,4.757281553,1.067961165,689,2.229773463,37.83,-122.26,1.247032294,3.951243719,1.559676403,0.065751378,6.535241271,0.801899994,3.633102439,4.806149925,1.914
2.5898,52,3.494252874,1.027298851,1377,1.978448276,37.83,-122.26,0.951580653,3.951243719,1.251119583,0.026932882,7.227662499,0.682312838,3.633102439,4.806149925,1.76
2.0978,52,4.215189873,1.060759494,946,2.394936709,37.83,-122.26,0.740889177,3.951243719,1.438694638,0.058985155,6.852242569,0.873356804,3.633102439,4.806149925,1.554
1.2852,51,3.759036145,1.248995984,517,2.076305221,37.83,-122.26,0.250914348,3.931825633,1.32416258,0.222340016,6.248042875,0.730589978,3.633102439,4.806149925,1.5
1.025,49,3.772486772,1.068783069,462,2.444444444,37.84,-122.26,0.024692613,3.891820298,1.327734405,0.066520682,6.135564891,0.893817876,3.633366744,4.806149925,1.188
3.9643,52,4.797979798,1.02020202,467,2.358585859,37.84,-122.26,1.377329295,3.951243719,1.568194954,0.020000667,6.146329258,0.858062227,3.633366744,4.806149925,1.888
3.0125,52,4.941780822,1.065068493,660,2.260273973,37.83,-122.26,1.102770299,3.951243719,1.597725757,0.06303911,6.492239835,0.815486033,3.633102439,4.806149925,1.844
2.6768,52,4.335078534,1.09947644,718,1.879581152,37.83,-122.26,0.984622051,3.951243719,1.466739726,0.094834103,6.576469569,0.63104896,3.633102439,4.806149925,1.823
2.026,50,3.700657895,1.059210526,616,2.026315789,37.83,-122.26,0.706063406,3.912023005,1.308510613,0.057523844,6.423246964,0.706219262,3.633102439,4.806149925,1.425
1.7348,43,3.980237154,1.233201581,558,2.205533597,37.82,-122.27,0.550892133,3.761200116,1.381341404,0.209613699,6.324358962,0.790969474,3.632838063,4.806231714,1.375
0.9506,40,3.9,1.21875,423,2.64375,37.82,-122.26,-0.050661915,3.688879454,1.360976553,0.197825743,6.047372179,0.972198364,3.632838063,4.806149925,1.875
1.775,40,2.6875,1.065340909,700,1.988636364,37.82,-122.27,0.573800423,3.688879454,0.988611393,0.06329485,6.551080335,0.687449159,3.632838063,4.806231714,1.125
0.9218,21,2.0456621,1.034246575,735,1.678082192,37.82,-122.27,-0.081426999,3.044522438,0.715721503,0.033673215,6.599870499,0.517651589,3.632838063,4.806231714,1.719
1.5045,43,4.58968059,1.12039312,1061,2.606879607,37.82,-122.27,0.408460617,3.761200116,1.523810433,0.113679624,6.966967139,0.958153953,3.632838063,4.806231714,0.938
1.1108,41,4.473611111,1.184722222,1959,2.720833333,37.82,-122.27,0.105080476,3.713572067,1.498195937,0.169508335,7.580189418,1.000938206,3.632838063,4.806231714,0.975
1.2475,52,4.075,1.14,1162,2.905,37.82,-122.27,0.221141549,3.951243719,1.404870747,0.131028262,7.057897937,1.06643339,3.632838063,4.806231714,1.042
1.6098,52,5.021459227,1.008583691,701,3.008583691,37.82,-122.28,0.476109948,3.951243719,1.613720574,0.008547061,6.552507887,1.101469433,3.632838063,4.806313497,0.875
1.4113,52,4.295454545,1.104545455,576,2.618181818,37.82,-122.28,0.344511265,3.951243719,1.457557381,0.099433897,6.356107661,0.962480114,3.632838063,4.806313497,0.831
1.5057,52,4.77992278,1.111969112,622,2.401544402,37.82,-122.28,0.409257906,3.951243719,1.564424392,0.106132418,6.432940093,0.876112031,3.632838063,4.806313497,0.875
0.8172,52,6.102459016,1.37295082,728,2.983606557,37.82,-122.28,-0.201871416,3.951243719,1.808691807,0.316962307,6.590301048,1.093132823,3.632838063,4.806313497,0.853
1.2171,52,4.5625,1.121710526,1074,3.532894737,37.82,-122.28,0.19647098,3.951243719,1.517870719,0.114854776,6.979145275,1.262117574,3.632838063,4.806313497,0.803
2.5625,2,2.771929825,0.754385965,94,1.649122807,37.82,-122.29,0.940983344,0.693147181,1.019543765,-0.281851152,4.543294782,0.500243514,3.632838063,4.806395273,0.6
3.3929,52,5.994652406,1.128342246,554,2.962566845,37.83,-122.29,1.221685013,3.951243719,1.790867806,0.120749517,6.317164687,1.08605607,3.633102439,4.806395273,0.757
6.1183,49,5.869565217,1.260869565,86,3.739130435,37.82,-122.29,1.81128428,3.891820298,1.769780563,0.231801614,4.454347296,1.31885308,3.632838063,4.806395273,0.75
0.9011,50,6.229508197,1.557377049,377,3.090163934,37.81,-122.29,-0.10413904,3.912023005,1.829297389,0.443003027,5.932245187,1.128224143,3.632573618,4.806395273,0.861
1.191,52,7.698113208,1.490566038,521,3.27672956,37.81,-122.3,0.17479329,3.951243719,2.040975261,0.399155939,6.255750042,1.18684584,3.632573618,4.806477043,0.761
2.5938,48,6.22556391,1.368421053,392,2.947368421,37.81,-122.3,0.953123982,3.871201011,1.828664026,0.313657559,5.97126184,1.080912712,3.632573618,4.806477043,0.735
1.1667,52,5.401069519,1.117647059,604,3.229946524,37.81,-122.3,0.154179251,3.951243719,1.686596993,0.111225635,6.403574198,1.172465581,3.632573618,4.806477043,0.784
0.8056,48,4.38253012,1.06626506,788,2.373493976,37.81,-122.3,-0.216167938,3.871201011,1.477626211,0.064161944,6.66949809,0.864363121,3.632573618,4.806477043,0.844
2.6094,52,6.986394558,1.659863946,492,3.346938776,37.8,-122.29,0.95912031,3.951243719,1.943964623,0.506735639,6.198478716,1.20804613,3.632309103,4.806395273,0.813
1.8516,52,6.975609756,1.329268293,274,3.341463415,37.81,-122.3,0.61605013,3.951243719,1.942419744,0.284628635,5.613128106,1.206408859,3.632573618,4.806477043,0.85
0.9802,46,4.584288052,1.05400982,1823,2.983633388,37.81,-122.29,-0.019998647,3.828641396,1.522634816,0.052601767,7.508238775,1.093141816,3.632573618,4.806395273,1.292
1.7719,26,6.047244094,1.196850394,392,3.086614173,37.81,-122.29,0.572052417,3.258096538,1.799602647,0.179693434,5.97126184,1.127074753,3.632573618,4.806395273,0.825
0.7286,46,3.375451264,1.072202166,582,2.101083032,37.81,-122.29,-0.316630394,3.828641396,1.216529023,0.069714633,6.366470448,0.742452942,3.632573618,4.806395273,0.952
1.75,49,5.552631579,1.342105263,560,3.684210526,37.81,-122.29,0.559615788,3.891820298,1.714271974,0.294239473,6.327936784,1.304056263,3.632573618,4.806395273,0.75
0.4999,46,1.714285714,0.571428571,18,2.571428571,37.81,-122.29,-0.693347201,3.828641396,0.538996501,-0.559615788,2.890371758,0.944461609,3.632573618,4.806395273,0.675
2.483,20,6.278195489,1.210526316,290,2.180451128,37.81,-122.29,0.909467507,2.995732274,1.837082597,0.191055237,5.669880923,0.779531795,3.632573618,4.806395273,1.375
0.9241,17,2.817767654,1.0523918,762,1.735763098,37.81,-122.28,-0.078934988,2.833213344,1.035944959,0.051065478,6.635946556,0.551447143,3.632573618,4.806313497,1.775
2.4464,36,5.724950884,1.104125737,1236,2.428290766,37.81,-122.28,0.894617556,3.583518938,1.74483397,0.099053833,7.119635638,0.887187621,3.632573618,4.806313497,1.021
1.1111,19,5.830917874,1.173913043,721,3.483091787,37.81,-122.28,0.105350516,2.944438979,1.763174428,0.16034265,6.580639137,1.247920344,3.632573618,4.806313497,1.083
0.8026,23,5.369230769,1.150769231,1054,3.243076923,37.81,-122.29,-0.219898821,3.135494216,1.680684652,0.140430615,6.960347729,1.176522547,3.632573618,4.806395273,1.125
2.0114,38,4.412903226,1.135483871,344,2.219354839,37.8,-122.28,0.698830997,3.63758616,1.484532801,0.127058878,5.840641657,0.79721654,3.632309103,4.806313497,1.313
1.5,17,3.197231834,1,609,2.107266436,37.81,-122.28,0.405465108,2.833213344,1.162285384,0,6.411818268,0.74539158,3.632573618,4.806313497,1.625
1.1667,52,3.75,1,183,3.267857143,37.81,-122.27,0.154179251,3.951243719,1.32175584,0,5.209486153,1.184134462,3.632573618,4.806231714,1.125
1.5208,52,3.908045977,1.114942529,200,2.298850575,37.81,-122.28,0.419236512,3.951243719,1.363037499,0.10880286,5.298317367,0.832409248,3.632573618,4.806313497,1.125
0.8075,52,2.490322581,1.058064516,346,2.232258065,37.81,-122.28,-0.213812224,3.951243719,0.912412253,0.056441311,5.846438775,0.803013658,3.632573618,4.806313497,1.375
1.8088,35,5.609467456,1.088757396,467,2.763313609,37.81,-122.28,0.592663642,3.555348061,1.724455787,0.085037043,6.146329258,1.016430543,3.632573618,4.806313497,1.188
2.4083,52,6.72173913,1.243478261,377,3.27826087,37.81,-122.28,0.878921104,3.951243719,1.90534692,0.217912502,5.932245187,1.187313059,3.632573618,4.806313497,0.982
0.977,40,2.315789474,1.186842105,582,1.531578947,37.81,-122.27,-0.023268627,3.688879454,0.839750655,0.171296087,6.366470448,0.426299195,3.632573618,4.806231714,1.188
0.76,10,2.651515152,1.054545455,546,1.654545455,37.81,-122.27,-0.274436846,2.302585093,0.975131232,0.053109825,6.302618976,0.503526321,3.632573618,4.806231714,1.625
0.9722,10,2.692307692,1.076923077,125,3.205128205,37.8,-122.27,-0.028193734,2.302585093,0.990398704,0.074107972,4.828313737,1.164752091,3.632309103,4.806231714,1.375
1.2434,52,2.929411765,0.917647059,396,4.658823529,37.8,-122.27,0.217849563,3.951243719,1.07480164,-0.08594243,5.981414211,1.538762955,3.632309103,4.806231714,5.00001
2.0938,16,2.745856354,1.082872928,800,2.209944751,37.8,-122.27,0.738980597,2.772588722,1.010092995,0.079617628,6.684611728,0.792967516,3.632309103,4.806231714,1.625
0.8668,52,2.443181818,0.988636364,904,10.27272727,37.8,-122.28,-0.142947009,3.951243719,0.893301214,-0.011428696,6.80682936,2.329492546,3.632309103,4.806313497,1.375
0.75,52,2.823529412,0.911764706,191,5.617647059,37.8,-122.28,-0.287682072,3.951243719,1.037987667,-0.09237332,5.252273428,1.725912903,3.632309103,4.806313497,1.625
2.6354,27,3.493377483,1.149006623,718,2.377483444,37.79,-122.27,0.969034973,3.295836866,1.250869029,0.138897763,6.576469569,0.866042552,3.632044517,4.806231714,1.875
1.8477,39,3.672376874,1.334047109,1327,2.841541756,37.8,-122.27,0.613941622,3.663561646,1.300839102,0.288217261,7.190676034,1.044346777,3.632309103,4.806231714,1.792
2.0096,36,2.294016358,1.066293586,3469,1.493327594,37.8,-122.26,0.697935697,3.583518938,0.83030415,0.064188697,8.151621647,0.401006914,3.632309103,4.806149925,1.3
2.8345,31,3.894915254,1.127966102,2048,1.73559322,37.82,-122.26,1.041865555,3.433987204,1.359671922,0.120416101,7.624618986,0.551349269,3.632838063,4.806149925,1.838
2.0062,29,3.681318681,1.175824176,202,2.21978022,37.81,-122.26,0.696242385,3.36729583,1.303271025,0.161969328,5.308267697,0.797408191,3.632573618,4.806149925,1.25
1.2185,22,2.9456,1.016,2024,1.6192,37.82,-122.26,0.197620594,3.091042453,1.080312531,0.015873349,7.61283103,0.4819322,3.632838063,4.806149925,1.7
2.6104,37,3.707142857,1.107142857,1838,1.875510204,37.82,-122.26,0.959503466,3.610917913,1.310261461,0.101782694,7.516433303,0.628880731,3.632838063,4.806149925,1.931
2.4912,29,3.7248,1.1312,2304,1.8432,37.81,-122.25,0.912764522,3.36729583,1.315013159,0.123279016,7.742402022,0.611503192,3.632573618,4.806068128,2.578
3.2177,28,3.878423514,1.070808283,2563,1.712090848,37.81,-122.25,1.168666819,3.33220451,1.35542876,0.068413768,7.848933726,0.537715342,3.632573618,4.806068128,2.734
3.125,39,3.745614035,1.061403509,389,1.706140351,37.81,-122.25,1.139434283,3.663561646,1.320585565,0.059592097,5.963579344,0.534233715,3.632573618,4.806068128,2.375
2.5795,52,3.515497553,1.143556281,895,1.460032626,37.81,-122.25,0.947595582,3.951243719,1.257181067,0.134142951,6.796823718,0.378458782,3.632573618,4.806068128,3.5
2.8406,34,3.281721632,1.069871437,2689,1.503074343,37.81,-122.26,1.044015297,3.526360525,1.188368173,0.067538489,7.896924656,0.407512573,3.632573618,4.806149925,3.357
4.9306,52,6.18442623,0.922131148,674,2.762295082,37.82,-122.24,1.595460685,3.951243719,1.822034233,-0.081067823,6.513230111,1.016061886,3.632838063,4.805986325,3.134
3.2727,52,4.442982456,1.057017544,709,1.554824561,37.81,-122.24,1.185615332,3.951243719,1.491325875,0.055451305,6.563855527,0.441362717,3.632573618,4.805986325,2.685
3.1691,52,4.165876777,1.090047393,686,1.625592417,37.81,-122.25,1.153447636,3.951243719,1.426926764,0.086221175,6.530877628,0.485872314,3.632573618,4.806068128,2.594
3.9,52,4.848189415,1.045961003,1444,2.011142061,37.82,-122.24,1.360976553,3.951243719,1.578605319,0.044936083,7.275172319,0.69870275,3.632838063,4.805986325,2.757
3.9063,28,4.16084788,1.066084788,1520,1.895261845,37.82,-122.25,1.362590634,3.33220451,1.425718871,0.063992861,7.326465614,0.639357006,3.632838063,4.806068128,2.25
5.0917,52,5.628458498,1.14229249,550,2.173913043,37.82,-122.25,1.627611763,3.951243719,1.727835603,0.133037199,6.309918278,0.776528789,3.632838063,4.806068128,2.625
2.6429,32,3.727005871,1.074363992,1806,1.767123288,37.82,-122.25,0.971876799,3.465735903,1.315605196,0.071728851,7.498869734,0.569352963,3.632838063,4.806068128,2.185
3.0233,26,3.253081348,0.982744454,1749,1.437140509,37.82,-122.25,1.10634895,3.258096538,1.179602654,-0.017406158,7.466799475,0.362655382,3.632838063,4.806068128,2.55
3.1484,52,4.578034682,1.077071291,939,1.809248555,37.83,-122.25,1.146894387,3.951243719,1.521269797,0.07424559,6.844815479,0.592911596,3.633102439,4.806068128,2.241
3.4722,35,3.822274882,1.014218009,675,1.599526066,37.83,-122.25,1.244788399,3.555348061,1.340845764,0.014117882,6.514712691,0.469707377,3.633102439,4.806068128,2.431
3.1429,52,4.395189003,0.986254296,534,1.835051546,37.83,-122.25,1.145145941,3.951243719,1.480510534,-0.013841051,6.280395839,0.607072572,3.633102439,4.806068128,2.316
2.4234,28,3.023479831,1.053582179,2558,1.540036123,37.83,-122.25,0.885171513,3.33220451,1.10640843,0.052195957,7.846980982,0.431805873,3.633102439,4.806068128,2.185
3.0897,52,4.040501446,1.06557377,1786,1.722275796,37.83,-122.25,1.128073999,3.951243719,1.396368805,0.063513406,7.487733761,0.543646553,3.633102439,4.806068128,2.341
5.8596,50,6.742627346,1.069705094,970,2.600536193,37.84,-122.23,1.768081342,3.912023005,1.908449663,0.067382997,6.877296071,0.955717652,3.633366744,4.805904516,3.276
5.2868,47,6.546391753,0.936082474,1098,2.263917526,37.84,-122.23,1.665213148,3.850147602,1.87891402,-0.066051693,7.001245622,0.817096731,3.633366744,4.805904516,3.476
5.956,41,6.85106383,1.079787234,794,2.111702128,37.83,-122.24,1.784399115,3.713572067,1.924403944,0.076764016,6.677083461,0.747494318,3.633102439,4.805986325,3.661
4.9643,37,7.106382979,1.14893617,98,2.085106383,37.85,-122.24,1.602272301,3.610917913,1.960993391,0.138836445,4.584967479,0.734819877,3.63363098,4.805986325,3.35
6.3434,52,6.947890819,1.019851117,1061,2.632754342,37.85,-122.23,1.847414902,3.951243719,1.938438134,0.019656653,6.966967139,0.968030577,3.63363098,4.805904516,3.736
5.1773,52,6.358558559,1.034234234,1177,2.120720721,37.84,-122.24,1.644283685,3.951243719,1.84980171,0.033661283,7.070724107,0.751755994,3.633366744,4.805986325,3.895
7.2354,52,7.117166213,0.994550409,901,2.455040872,37.85,-122.24,1.978985645,3.951243719,1.962509642,-0.005464494,6.803505258,0.89814341,3.63363098,4.805986325,3.911
5.457,28,5.530334728,1.09623431,2031,2.124476987,37.85,-122.22,1.696899188,3.33220451,1.710248343,0.091880952,7.616283562,0.753525649,3.63363098,4.805822699,3.373
7.5,50,6.127348643,0.987473904,1031,2.152400835,37.84,-122.22,2.014903021,3.912023005,1.812762135,-0.012605209,6.938284484,0.766583887,3.633366744,4.805822699,2.952
6.0194,44,5.735343384,1,1358,2.274706868,37.84,-122.21,1.794987587,3.784189634,1.746647624,0,7.213768308,0.821851195,3.633366744,4.805740876,2.923
7.5544,40,7.631498471,1.03058104,1616,2.470948012,37.83,-122.21,2.022130175,3.688879454,2.032284218,0.030122759,7.387709239,0.904601888,3.633102439,4.805740876,4.115
6.0666,30,6.44606414,1.008746356,844,2.460641399,37.84,-122.2,1.802798316,3.401197382,1.863469734,0.008708328,6.738152495,0.900422047,3.633366744,4.805659047,3.115
7.0548,34,6.125,0.987903226,1140,2.298387097,37.84,-122.21,1.953708236,3.526360525,1.812378756,-0.012170536,7.038783541,0.832207615,3.633366744,4.805740876,3.259
11.6017,18,8.335051546,1.082474227,533,2.74742268,37.84,-122.19,2.451151639,2.890371758,2.120469701,0.079249372,6.278521424,1.010663265,3.633366744,4.80557721,3.926
7.4882,35,6.467268623,1.038374718,1072,2.41986456,37.84,-122.2,2.013328448,3.555348061,1.866753859,0.037656719,6.977281342,0.883711572,3.633366744,4.805659047,3.193
6.8976,34,6.61227154,1.028720627,1627,2.124020888,37.83,-122.21,1.931173525,3.526360525,1.888927247,0.02831592,7.394493107,0.753310937,3.633102439,4.805740876,3.333
8.2049,28,6.978947368,0.968421053,463,2.436842105,37.83,-122.19,2.104731537,3.33220451,1.942898099,-0.032088315,6.137727054,0.890702982,3.633102439,4.80557721,3.352
8.401,26,7.530805687,1.056872038,542,2.568720379,37.83,-122.2,2.128350746,3.258096538,2.019002033,0.055313638,6.295266001,0.943407868,3.633102439,4.805659047,3.512
6.8538,29,6.657992565,1.007434944,661,2.457249071,37.83,-122.19,1.924803243,3.36729583,1.895818022,0.007407441,6.49375384,0.89904246,3.633102439,4.80557721,3.689
8.317,32,6.977186312,1.003802281,635,2.414448669,37.82,-122.19,2.118301613,3.465735903,1.942645728,0.003795071,6.453624999,0.881470967,3.632838063,4.80557721,3.659
7.0175,37,6.982954545,1.028409091,420,2.386363636,37.82,-122.2,1.948407029,3.610917913,1.943472115,0.028013036,6.040254711,0.869770716,3.632838063,4.805659047,3.667
6.3302,39,7.54,1.068,1265,2.53,37.82,-122.2,1.845331831,3.663561646,2.020222182,0.065787741,7.142827401,0.928219303,3.632838063,4.805659047,3.628
6.3624,30,5.615384615,0.730769231,126,2.423076923,37.81,-122.18,1.850405665,3.401197382,1.725510084,-0.313657559,4.836281907,0.885038188,3.632573618,4.805495367,4.833
7.0549,52,6.785714286,0.951428571,813,2.322857143,37.82,-122.21,1.953722411,3.951243719,1.914819562,-0.049790665,6.70073111,0.842797955,3.632838063,4.805740876,3.314
6.7851,45,6.957746479,1.023474178,1067,2.504694836,37.81,-122.2,1.914729032,3.80666249,1.93985564,0.023202897,6.972606251,0.918166905,3.632573618,4.805659047,3.235
2.8929,50,5.132246377,1.096014493,1260,2.282608696,37.8,-122.21,1.062259459,3.912023005,1.635543454,0.091680412,7.138867,0.825318954,3.632309103,4.805740876,2.167
3.0812,38,4.628336756,1.098562628,951,1.952772074,37.8,-122.21,1.125319131,3.63758616,1.532197572,0.094002624,6.857514063,0.669249939,3.632309103,4.805740876,2.331
5.2402,52,6.200892857,0.946428571,510,2.276785714,37.81,-122.21,1.656359666,3.951243719,1.824693291,-0.055059777,6.234410726,0.822764674,3.632573618,4.805740876,2.964
6.5217,52,6.399350649,1.087662338,765,2.483766234,37.81,-122.22,1.875135078,3.951243719,1.856196524,0.084030749,6.639875834,0.909776051,3.632573618,4.805822699,2.737
3.2632,52,4.745652174,1.010869565,1129,2.454347826,37.8,-122.22,1.182708309,3.951243719,1.557228867,0.010810916,7.029087564,0.897861075,3.632309103,4.805822699,2.277
3.0298,52,5.183673469,1.052154195,1073,2.433106576,37.8,-122.22,1.108496611,3.951243719,1.645513969,0.050839677,6.978213743,0.889168867,3.632309103,4.805822699,1.996
4.5428,52,5.283495146,1.050485437,1185,2.300970874,37.8,-122.22,1.513543562,3.951243719,1.664587838,0.049252378,7.077498054,0.833331153,3.632309103,4.805822699,2.398
4.072,52,5.952941176,0.997058824,756,2.223529412,37.81,-122.22,1.404134279,3.951243719,1.783885413,-0.00294551,6.628041376,0.799095759,3.632573618,4.805822699,2.701
5.3509,52,5.650671785,1.028790787,1034,1.984644914,37.81,-122.22,1.677264771,3.951243719,1.731774438,0.028384119,6.941190055,0.685440013,3.632573618,4.805822699,3.021
3.1603,52,4.4291939,1.058823529,787,1.71459695,37.8,-122.23,1.15066696,3.951243719,1.488217604,0.057158414,6.668228248,0.539178038,3.632309103,4.805904516,2.695
4.7708,52,6.727699531,1.075117371,612,2.873239437,37.81,-122.23,1.562514006,3.951243719,1.906233262,0.072429838,6.416732283,1.055440117,3.632573618,4.805904516,3.147
8.1564,52,7.702631579,1.057894737,1021,2.686842105,37.81,-122.22,2.098802895,3.951243719,2.041562034,0.056280836,6.928537818,0.988366565,3.632573618,4.805822699,3.901
8.8793,52,8.972868217,1.131782946,861,3.337209302,37.81,-122.23,2.183722725,3.951243719,2.194205382,0.123794217,6.758094504,1.20513492,3.632573618,4.805904516,4.103
